,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
393,6304,46886,2009/6/30,2009/9/30,2010-01-31,18.88,0.36,373.633,-22.56,-22.56,-9.126,-9.126,3.647,25.869,,-0.393,0.01,-0.077,0.513,-0.465,0.004,-0.222,-0.033,,-0.222,-0.151,-0.222,-0.048,-0.037,0.185,0.748,0.252,0.252,0.252,-0.305,0.074,0.074,0.864,0.164,0.135,54.279,0.0,0.413,0.503,0.022,0.306,0.137,0.916,4.936,0.337,0.202,0.401,0.27,0.67,-8.509,-1.867,2.09,3.339,3.993,274.377,1.617,0.36,4.017,6.567,0.45,0.601,0.725,0.252,0.002,0.0,-0.184,2.199,,2.13%,KLAC,48248010,BBB
394,6304,46886,2013/6/30,2013/12/31,2014-04-30,27.108,0.331,12.797,19.101,19.45,19.569,19.569,3.773,12.019,0.512,0.196,0.291,0.261,0.611,0.244,0.157,0.16,0.175,0.214,0.16,0.144,0.16,0.196,0.161,0.324,0.824,0.176,0.176,0.176,0.225,0.073,0.073,1.617,0.149,0.115,0.915,0.0,0.476,0.413,0.949,1.025,0.506,0.917,5.791,0.214,0.141,0.341,0.199,0.518,11.174,13.562,3.397,4.317,5.074,242.817,1.68,0.531,5.574,9.133,0.663,0.805,0.802,0.183,0.001,0.0,-0.063,2.989,2.868,2.81%,KLAC,48248010,BBB+
395,6304,46886,2014/6/30,2014/6/30,2014-10-31,22.533,0.305,15.107,22.422,22.679,22.81,22.81,4.444,16.714,0.513,0.199,0.288,0.266,0.603,0.251,0.156,0.163,0.18,0.207,0.163,0.151,0.163,0.199,0.162,0.319,0.831,0.169,0.169,0.169,0.227,0.072,0.072,1.687,0.143,0.113,0.885,0.0,0.479,0.4,0.944,0.87,0.417,0.913,5.66,0.204,0.135,0.338,0.188,0.509,11.829,14.453,3.52,4.388,5.121,234.709,1.804,0.541,5.472,10.829,0.663,0.798,0.794,0.184,0.0,0.0,-0.036,3.548,,2.53%,KLAC,48248010,BBB
397,3144,11308,2008/12/31,2009/9/30,2010-01-31,23.091,0.202,12.573,9.688,9.688,10.046,10.046,4.107,15.381,0.734,0.205,0.316,0.277,0.679,0.266,0.217,0.27,0.256,0.219,0.285,0.246,0.285,0.893,0.36,0.47,0.819,0.166,0.41,0.168,0.245,0.088,0.036,0.335,0.154,0.223,1.142,0.596,0.612,0.205,0.728,0.615,0.385,0.756,2.5,0.194,0.25,0.491,0.422,0.985,17.01,21.625,0.548,0.959,1.134,65.941,4.217,0.693,9.109,1.954,1.136,1.388,15.193,0.0,0.094,0.0,-0.042,5.013,1.519,3.02%,KO,19121610,A+
398,3144,11308,2011/12/31,2012/6/30,2012-09-30,21.675,0.212,14.929,9.506,9.751,10.034,10.034,3.594,17.059,0.38,0.184,0.274,0.233,0.644,0.242,0.16,0.23,0.178,0.245,0.263,0.177,0.263,0.64,0.263,0.37,0.679,0.314,0.634,0.316,0.226,0.028,0.014,0.317,0.12,0.182,2.334,0.505,0.507,0.301,0.514,0.396,0.197,0.697,3.329,0.403,0.367,0.603,0.541,1.535,22.07,26.681,0.625,0.966,1.097,55.463,5.084,0.575,9.379,2.19,0.993,1.463,19.305,0.0,0.07,0.0,-0.016,4.583,0.529,2.69%,KO,19121610,AA-
399,3144,11308,2013/12/31,2013/12/31,2014-04-30,20.005,0.216,16.794,19.705,20.094,21.468,21.468,3.826,17.006,0.579,0.183,0.278,0.238,0.648,0.245,0.148,0.223,0.164,0.248,0.26,0.171,0.26,0.628,0.244,0.337,0.631,0.364,0.705,0.366,0.226,0.024,0.012,0.358,0.105,0.156,2.844,0.483,0.491,0.338,0.469,0.379,0.186,0.758,3.783,0.487,0.412,0.629,0.54,1.707,21.886,27.075,0.729,1.008,1.126,66.683,5.049,0.532,9.729,8.471,0.891,1.412,13.414,0.0,0.07,0.0,-0.022,4.559,,2.99%,KO,19121610,AA
400,3144,11308,2015/12/31,2015/12/31,2016-02-29,22.983,0.163,18.929,21.893,22.005,25.826,25.826,4.216,17.737,0.781,0.166,0.274,0.231,0.648,0.217,0.133,0.222,0.144,0.233,0.263,0.143,0.263,0.597,0.219,0.319,0.472,0.524,0.816,0.526,0.211,0.023,0.012,0.309,0.087,0.118,3.639,0.357,0.419,0.442,0.451,0.391,0.164,0.758,5.117,0.939,0.491,0.714,0.648,2.517,14.689,19.069,0.739,1.132,1.24,47.74,5.189,0.486,10.537,6.296,0.818,1.733,6.851,0.0,0.09,0.0,-0.035,6.174,,3.06%,KO,19121610,AA-
402,25283,77606,2009/1/31,2009/10/31,2010-01-31,16.413,0.443,7.683,17.133,17.191,17.191,17.191,0.923,6.922,0.0,0.054,0.128,0.093,0.374,0.086,0.183,0.126,0.175,0.379,0.132,0.111,0.132,0.175,0.141,0.518,0.774,0.226,0.228,0.226,0.088,0.06,0.059,0.222,0.695,0.0,0.967,0.008,0.437,0.409,0.976,1.017,0.37,0.677,0.712,0.278,0.172,0.416,0.322,0.713,8.311,12.752,0.508,0.606,1.989,61.168,3.455,1.387,,8.282,1.84,2.377,7.712,0.0,0.054,0.0,-0.111,1.984,16.148,,KSS,50025510,BBB+
403,25283,77606,2014/1/31,2014/7/31,2014-11-30,11.852,0.565,6.22,14.436,14.541,14.541,14.541,0.647,6.589,0.356,0.046,0.138,0.09,0.365,0.072,0.179,0.137,0.159,0.367,0.146,0.11,0.146,0.152,0.121,0.476,0.555,0.445,0.456,0.445,0.093,0.072,0.07,0.088,0.778,0.0,1.867,0.026,0.341,0.55,0.888,0.634,0.224,0.604,0.979,0.752,0.335,0.593,0.523,1.455,3.545,5.0,0.26,0.407,1.838,77.988,2.864,1.304,,7.404,1.777,3.2,7.705,0.0,0.053,0.0,-0.068,1.979,14.581,2.62%,KSS,50025510,BBB
404,25283,77606,2016/1/31,2016/10/31,2017-01-31,8.082,0.702,5.752,11.68,11.68,12.218,12.218,0.373,2.995,0.593,0.032,0.118,0.068,0.359,0.05,0.162,0.107,0.127,0.363,0.112,0.089,0.112,0.122,0.095,0.499,0.538,0.462,0.475,0.462,0.082,0.069,0.067,0.073,0.817,0.005,2.092,0.027,0.352,0.546,0.763,0.803,0.182,0.689,1.009,0.821,0.343,0.612,0.539,1.574,2.92,4.135,0.208,0.322,1.757,81.297,2.883,1.389,725.692,7.615,1.923,3.575,8.528,0.0,0.053,0.0,-0.126,1.3,,5.02%,KSS,50025510,BBB-
405,6781,26710,2008/12/31,2009/9/30,2010-01-31,13.148,1.154,11.655,-30.059,-30.059,-19.546,-19.546,1.179,3.23,,-0.061,0.025,0.025,0.025,-0.038,0.005,-0.056,0.015,0.012,-0.056,0.015,-0.056,,,0.005,0.543,0.314,0.316,0.367,0.038,0.048,0.048,0.151,,,3.921,0.004,,0.16,,,0.064,0.321,4.17,0.58,0.119,0.742,0.406,3.627,-0.953,0.806,,,,,,0.182,1.132,,0.483,0.891,,0.0,0.0,0.0,-0.077,0.903,,0.70%,L,54042410,A
406,6781,26710,2010/12/31,2011/9/30,2011-11-30,14.131,1.44,6.047,12.357,12.357,12.559,12.559,1.061,14.085,0.081,0.088,0.227,0.227,0.227,0.187,0.043,0.066,0.116,0.308,0.067,0.076,0.067,,,0.043,0.582,0.274,0.29,0.32,0.193,0.06,0.056,0.166,,,2.238,0.055,,0.167,,,-0.001,0.354,4.173,0.462,0.123,0.693,0.345,2.811,3.39,6.192,,,,,,0.189,1.416,,0.446,0.765,,0.0,0.0,0.0,0.002,0.771,,0.65%,L,54042410,A+
407,6649,60943,2008/12/31,2009/9/30,2010-01-31,14.459,0.56,11.354,32.607,32.607,42.465,49.351,0.858,4.095,2.242,0.022,0.09,0.055,0.211,0.033,0.088,0.04,0.068,0.346,0.041,0.042,0.041,0.117,0.086,0.217,0.666,0.326,0.334,0.329,0.064,0.048,0.046,0.133,0.353,0.419,2.845,0.022,0.357,0.554,0.558,1.292,0.293,0.86,2.132,0.482,0.264,0.467,0.38,0.885,2.823,4.639,0.374,1.57,2.424,97.487,5.693,1.026,6.078,12.325,1.296,1.946,4.33,0.0,0.0,0.0,-0.185,1.642,0.554,5.70%,LEG,52466010,A-
408,6649,60943,2009/12/31,2010/9/30,2010-11-30,18.563,0.465,9.639,17.107,17.25,17.107,17.845,0.911,8.83,0.832,0.056,0.124,0.092,0.231,0.085,0.134,0.118,0.13,0.39,0.121,0.096,0.121,0.226,0.161,0.249,0.64,0.35,0.357,0.354,0.095,0.045,0.044,0.166,0.342,0.407,2.044,0.019,0.359,0.533,0.741,0.618,0.38,0.807,2.423,0.529,0.273,0.503,0.416,1.027,5.987,8.227,0.462,1.511,2.298,86.179,5.856,1.081,6.407,11.241,1.413,2.207,4.612,0.0,0.0,0.0,-0.051,1.955,0.123,5.22%,LEG,52466010,BBB+
409,6669,52708,2009/11/30,2009/11/30,2010-01-31,-7.716,1.043,-12.664,-5.242,-5.242,-6.269,-6.269,0.756,5.607,,-0.134,-0.135,-0.148,0.048,-0.244,-0.057,-0.165,-0.085,,-0.165,-0.058,-0.165,,,0.02,0.5,0.47,0.61,0.485,-0.137,0.078,0.06,0.316,,,-7.089,0.229,,0.486,,,0.089,,31.091,0.94,0.407,0.646,0.563,1.934,-1.423,-2.673,,,,592.136,0.663,0.423,5.437,12.254,0.639,1.277,,0.0,0.014,0.0,-0.114,0.966,,1.04%,LEN,52605710,BB-
410,6669,52708,2009/11/30,2010/8/31,2010-10-31,-6.019,1.029,-53.501,-17.274,-17.274,27.377,27.377,0.713,9.998,0.846,0.032,-0.037,-0.042,0.126,-0.079,-0.015,0.04,-0.024,,0.04,0.048,0.04,,,0.05,0.398,0.528,0.482,0.57,0.036,0.057,0.062,0.259,,,-25.746,0.229,,0.648,,,0.089,,33.154,1.326,0.374,0.634,0.595,2.046,1.533,-0.709,,,,699.738,0.631,0.393,2.508,15.814,0.506,1.27,,0.0,0.014,0.0,-0.016,0.891,,1.10%,LEN,52605710,B+
411,6669,52708,2012/11/30,2012/11/30,2013-01-31,-50.592,0.47,32.468,42.825,47.205,13.357,13.357,1.626,-15.718,0.045,0.165,0.092,0.078,0.23,0.054,0.039,0.222,0.041,-1.959,0.222,0.124,0.222,,,0.091,0.425,0.502,0.627,0.542,0.167,0.057,0.046,0.209,,,13.272,0.198,,0.635,,,-0.067,,20.282,1.18,0.486,0.614,0.606,1.863,4.058,1.451,,,,727.027,0.54,0.421,4.833,19.337,0.511,1.202,,0.0,0.008,0.0,0.113,1.95,0.095,0.39%,LEN,52605710,BB-
412,6669,52708,2013/11/30,2014/5/31,2014-08-31,39.07,0.526,16.401,16.19,18.308,17.649,17.649,1.015,-7.377,0.064,0.075,0.119,0.114,0.237,0.119,0.072,0.127,0.084,0.26,0.127,0.085,0.127,,,0.138,0.437,0.514,0.564,0.54,0.081,0.056,0.051,0.131,,,6.707,0.088,,0.709,,,-0.122,,37.784,1.175,0.465,0.599,0.577,1.658,2.849,2.814,,,,586.116,0.632,0.584,12.18,22.441,0.707,1.616,,0.0,0.005,0.0,0.126,1.542,0.157,0.41%,LEN,52605710,BB
413,14960,12062,2008/12/31,2009/9/30,2010-01-31,17.279,0.29,7.522,14.54,14.69,14.968,14.968,1.622,8.852,0.0,0.111,0.246,0.205,0.447,0.187,0.243,0.27,0.277,0.392,0.289,0.181,0.289,1.136,0.617,0.438,0.546,0.417,0.452,0.433,0.155,0.046,0.042,0.086,0.075,0.606,1.364,0.077,0.209,0.525,1.989,1.483,0.273,0.867,5.523,0.714,0.328,0.577,0.478,1.456,8.835,14.393,0.411,1.72,1.86,38.629,32.009,0.978,7.183,15.44,1.348,2.469,9.415,0.0,0.0,0.0,-0.071,3.722,0.945,,LH,50540R40,BBB+
414,14960,12062,2011/12/31,2012/9/30,2013-01-31,16.199,0.31,8.43,13.919,14.206,14.769,14.769,1.503,9.779,0.0,0.106,0.232,0.192,0.427,0.174,0.214,0.222,0.231,0.384,0.233,0.149,0.233,1.293,0.654,0.382,0.557,0.438,0.486,0.44,0.147,0.043,0.039,0.06,0.096,0.631,1.74,0.098,0.232,0.561,1.538,1.017,0.237,0.835,6.25,0.751,0.362,0.582,0.491,1.402,7.715,12.13,0.258,1.244,1.376,33.341,28.64,0.895,7.621,13.433,1.201,2.156,17.583,0.0,0.0,0.0,-0.043,3.117,1.624,,LH,50540R40,BBB
415,14960,12062,2012/12/31,2013/9/30,2013-12-31,14.71,0.295,8.827,14.122,14.366,15.053,15.053,1.382,9.689,0.0,0.098,0.218,0.179,0.412,0.158,0.188,0.209,0.197,0.381,0.209,0.135,0.209,0.994,0.537,0.358,0.534,0.462,0.505,0.464,0.138,0.043,0.039,0.059,0.101,0.636,2.015,0.085,0.196,0.587,1.623,1.062,0.207,0.752,6.126,0.867,0.381,0.594,0.51,1.477,6.683,10.369,0.302,1.432,1.592,36.155,27.277,0.867,7.356,13.627,1.15,2.155,12.571,0.0,0.0,0.0,-0.038,3.113,3.182,,LH,50540R40,BBB+
416,14960,12062,2013/12/31,2014/9/30,2015-01-31,17.525,0.321,9.679,18.277,18.603,19.258,19.258,1.634,12.531,0.0,0.087,0.198,0.158,0.395,0.14,0.17,0.203,0.171,0.372,0.203,0.116,0.203,0.672,0.441,0.331,0.471,0.525,0.544,0.527,0.128,0.035,0.034,0.101,0.089,0.537,2.554,0.034,0.167,0.651,1.581,1.039,0.184,0.72,6.075,1.115,0.425,0.63,0.559,1.712,6.097,9.213,0.604,1.867,2.05,34.984,26.398,0.838,7.237,12.509,1.074,2.279,7.592,0.0,0.0,0.0,-0.037,3.5,3.03,,LH,50540R40,BBB
417,6730,50876,2008/12/31,2009/9/30,2010-01-31,24.255,0.276,6.097,8.037,8.037,-176.0,-176.0,1.916,8.61,,-0.01,0.367,0.31,0.88,0.042,0.281,-0.023,0.385,,-0.024,0.007,-0.024,0.562,0.325,0.677,0.569,0.431,0.588,0.431,0.047,0.052,0.038,0.219,0.246,0.291,1.099,0.267,0.436,0.324,0.925,0.56,0.325,0.833,2.269,0.75,0.31,0.7,0.534,2.337,0.337,20.105,0.503,1.023,1.356,326.288,0.906,0.769,6.374,3.818,1.459,2.565,7.076,0.419,0.0,0.0,-0.179,4.042,,5.57%,LLY,53245710,AA
418,6730,50876,2009/12/31,2010/6/30,2010-08-31,18.802,0.28,5.729,7.399,7.399,8.314,8.314,1.704,6.254,0.48,0.196,0.345,0.286,0.855,0.249,0.289,0.459,0.389,0.192,0.463,0.286,0.463,0.472,0.324,0.71,0.598,0.402,0.412,0.402,0.254,0.034,0.034,0.265,0.217,0.3,0.881,0.025,0.355,0.388,1.274,1.006,0.242,0.885,2.155,0.665,0.252,0.634,0.439,1.729,20.207,28.076,0.747,1.56,1.991,248.564,1.242,0.83,6.186,2.625,1.356,2.266,3.727,0.207,0.0,0.0,-0.064,3.752,,5.84%,LLY,53245710,AA-
419,6653,65330,2009/3/31,2009/9/30,2010-01-31,-89.857,1.189,14.189,-3.678,-3.672,-2.099,-2.099,1.593,2.469,,-0.662,0.173,0.125,0.173,-1.075,0.044,-0.326,0.039,,-0.34,-0.189,-0.34,0.133,0.079,0.048,0.654,0.344,0.387,0.345,-0.596,0.063,0.056,0.46,0.0,0.264,6.439,0.11,0.3,0.579,0.337,1.255,0.09,0.922,12.009,0.506,0.309,0.475,0.402,0.909,-9.504,1.981,1.534,2.308,2.308,46.007,,0.277,3.195,5.35,0.346,0.53,1.486,0.0,0.0,0.337,-0.34,0.694,-0.013,0.47%,LM,52490110,BBB+
420,6653,65330,2011/3/31,2011/3/31,2011-06-30,-42.298,1.113,13.214,18.099,18.2,20.098,20.098,1.749,11.819,0.122,0.091,0.195,0.158,0.195,0.131,0.063,0.042,0.06,0.327,0.044,0.046,0.044,0.242,0.156,0.062,0.792,0.203,0.237,0.204,0.125,0.07,0.059,0.657,0.0,0.162,3.181,0.145,0.334,0.51,0.561,0.425,0.142,0.92,10.117,0.245,0.199,0.333,0.251,0.503,3.755,4.788,1.967,2.525,2.525,13.153,,0.321,5.82,7.364,0.382,0.483,1.884,0.0,0.0,0.426,-0.018,0.807,,0.98%,LM,52490110,BBB
421,6774,21178,2008/12/31,2009/9/30,2010-01-31,11.294,0.106,6.657,10.016,10.139,9.831,9.728,0.657,5.88,0.3,0.07,0.119,0.099,0.119,0.098,0.154,0.652,0.506,0.316,0.652,0.4,0.652,0.897,0.271,0.147,0.45,0.55,0.588,0.55,0.09,0.084,0.079,0.079,0.166,0.505,0.746,0.064,0.353,0.112,0.456,0.428,0.145,0.811,7.126,1.222,0.11,0.916,0.672,10.895,10.987,14.191,0.223,0.87,1.043,48.105,19.511,1.24,7.278,17.748,6.63,14.745,88.824,0.028,0.0,0.0,-0.054,8.975,0.785,3.38%,LMT,53983010,A-
422,6774,21178,2014/12/31,2015/9/30,2015-11-30,22.618,0.044,12.049,20.578,20.912,21.656,19.446,1.621,19.046,0.592,0.077,0.138,0.114,0.138,0.11,0.15,0.888,0.436,0.313,0.888,0.334,0.888,0.686,0.253,0.147,0.298,0.702,0.735,0.702,0.11,0.052,0.049,0.08,0.211,0.453,1.364,0.045,0.336,0.209,0.476,0.293,0.115,0.749,7.667,2.358,0.201,0.919,0.755,11.292,9.281,12.26,0.237,0.945,1.199,69.068,11.7,1.063,6.335,18.659,3.892,13.07,17.3,0.018,0.0,0.0,-0.008,23.941,4.379,3.01%,LMT,53983010,BBB+
424,6829,61399,2009/1/31,2009/10/31,2010-01-31,12.207,0.691,7.592,18.504,18.504,18.347,18.347,0.678,7.715,0.299,0.037,0.099,0.065,0.346,0.059,0.139,0.091,0.129,0.374,0.095,0.087,0.095,0.128,0.094,0.481,0.797,0.203,0.226,0.203,0.074,0.072,0.065,0.082,0.837,0.0,1.139,0.103,0.582,0.316,0.532,0.47,0.282,0.482,0.666,0.247,0.157,0.446,0.355,0.804,6.043,8.881,0.141,0.188,1.151,41.138,3.636,1.389,,6.181,1.998,2.506,35.559,0.0,0.016,0.0,-0.071,1.595,,1.66%,LOW,54866110,A+
425,6829,61399,2010/1/31,2010/1/31,2010-04-30,15.464,0.623,7.759,22.413,22.413,22.413,22.413,0.829,9.656,0.295,0.038,0.1,0.066,0.349,0.06,0.144,0.093,0.129,0.369,0.096,0.089,0.096,0.127,0.097,0.499,0.808,0.192,0.215,0.192,0.074,0.069,0.06,0.076,0.848,0.0,1.075,0.109,0.528,0.325,0.643,0.551,0.291,0.556,0.619,0.23,0.154,0.422,0.329,0.731,6.37,9.373,0.144,0.202,1.323,47.837,3.738,1.438,,7.336,2.001,2.476,19.865,0.0,0.016,0.0,-0.069,1.99,,1.33%,LOW,54866110,A
426,6829,61399,2011/1/31,2011/7/31,2011-11-30,12.837,0.635,7.451,16.114,16.223,16.223,16.223,0.62,6.937,0.308,0.041,0.103,0.072,0.351,0.065,0.146,0.105,0.144,0.377,0.108,0.094,0.108,0.142,0.106,0.496,0.739,0.261,0.263,0.261,0.074,0.058,0.058,0.084,0.826,0.0,1.255,0.006,0.505,0.378,0.599,0.517,0.247,0.657,0.754,0.344,0.184,0.484,0.396,0.937,6.383,9.565,0.166,0.221,1.269,40.243,3.584,1.415,,5.957,2.024,2.74,21.486,0.0,0.016,0.0,-0.069,1.754,,2.33%,LOW,54866110,A-
428,9882,58683,2008/12/31,2009/9/30,2010-01-31,21.196,1.006,11.053,-283.25,-283.25,-113.3,-113.3,0.812,-4.104,0.073,-0.007,0.082,0.022,0.21,-0.01,0.056,-0.009,0.026,0.36,-0.013,0.01,-0.013,0.021,0.016,0.154,0.598,0.402,0.42,0.402,0.052,0.051,0.049,0.231,0.064,0.074,4.205,0.044,0.331,0.374,0.282,-0.683,-0.163,,0.842,0.487,0.251,0.642,0.457,1.796,0.589,1.314,0.698,0.943,1.007,,42.551,0.733,45.996,11.627,1.226,2.049,-68.125,0.0,0.018,0.303,0.132,1.175,,0.16%,LUV,84474110,BBB
429,9882,58683,2010/12/31,2011/3/31,2011-05-31,25.495,0.961,7.481,18.778,18.778,19.393,19.393,0.745,4.35,0.029,0.036,0.135,0.085,0.252,0.059,0.113,0.056,0.115,0.384,0.078,0.055,0.078,0.094,0.073,0.204,0.67,0.33,0.375,0.33,0.086,0.056,0.05,0.385,0.058,0.059,2.006,0.121,0.376,0.318,0.479,0.607,0.169,0.809,0.892,0.356,0.22,0.608,0.408,1.549,3.68,6.325,1.022,1.17,1.242,,36.91,0.811,48.234,12.074,1.386,2.068,14.654,0.0,0.017,0.306,-0.111,1.031,0.213,0.15%,LUV,84474110,BBB-
430,9882,58683,2013/12/31,2014/6/30,2014-10-31,56.831,0.572,6.274,20.897,21.153,22.245,22.245,1.289,7.371,0.114,0.06,0.152,0.103,0.272,0.096,0.142,0.109,0.188,0.376,0.154,0.098,0.154,0.154,0.104,0.248,0.761,0.239,0.295,0.239,0.109,0.059,0.048,0.277,0.096,0.092,1.019,0.189,0.489,0.181,0.448,0.514,0.206,0.488,0.94,0.223,0.142,0.635,0.33,1.739,9.059,13.844,0.566,0.709,0.784,0.925,28.419,0.912,40.649,17.432,1.901,2.499,,0.0,0.012,0.284,-0.105,2.222,0.369,0.70%,LUV,84474110,BBB
431,61552,82643,2008/12/31,2009/9/30,2010-01-31,6.061,0.561,4.664,9.081,9.113,19.391,19.391,0.518,10.168,0.0,0.027,0.123,0.069,0.387,0.026,0.151,0.114,0.172,0.129,0.115,0.065,0.115,0.157,0.093,0.48,0.576,0.424,0.426,0.424,0.081,0.093,0.075,0.388,0.206,0.221,1.363,0.006,0.499,0.288,0.425,0.176,0.197,-0.335,2.544,0.733,0.208,0.719,0.563,2.557,8.927,12.208,0.777,1.356,1.708,26.857,6.016,1.239,9.131,4.732,2.541,4.409,4.881,0.099,0.021,0.0,-0.03,2.133,,,LXK,52977110,BBB-
432,61552,82643,2015/12/31,2016/9/30,2016-11-30,22.868,0.4,7.823,38.933,38.933,-37.841,-37.841,0.73,10.998,,-0.019,0.12,0.036,0.459,-0.015,0.108,-0.06,0.059,,-0.062,-0.01,-0.062,0.214,0.072,0.424,0.508,0.492,0.492,0.492,0.065,0.044,0.044,0.047,0.245,0.423,2.437,0.001,0.415,0.374,0.37,0.205,0.039,0.63,3.807,0.94,0.27,0.721,0.587,2.585,-0.49,2.78,0.112,0.644,0.853,,8.017,0.925,8.569,3.944,1.686,3.317,,0.091,0.01,0.0,-0.078,2.534,,,LXK,52977110,BB-
433,4611,77462,2009/1/31,2009/10/31,2010-01-31,-32.074,0.744,6.014,18.964,18.964,-1.373,-1.373,0.284,3.446,,-0.207,0.104,0.051,0.397,-0.217,0.105,-0.692,0.08,,-0.834,-0.274,-0.834,0.102,0.071,0.433,0.345,0.655,0.68,0.655,-0.155,0.066,0.063,0.038,0.795,0.071,3.684,0.036,0.284,0.508,0.503,0.401,0.107,0.767,1.684,1.535,0.416,0.789,0.737,3.745,-7.562,2.117,0.134,0.277,1.351,43.692,2.728,1.089,50.971,3.618,1.781,5.169,13.845,0.0,0.05,0.0,-0.296,1.219,,1.26%,M,55616P10,BB
434,4611,77462,2010/1/31,2010/1/31,2010-05-31,-39.623,0.861,5.816,18.508,18.664,26.759,26.759,0.399,5.357,0.24,0.015,0.113,0.061,0.405,0.022,0.122,0.061,0.104,0.31,0.075,0.063,0.075,0.12,0.086,0.447,0.357,0.643,0.661,0.643,0.066,0.066,0.062,0.102,0.671,0.052,3.285,0.028,0.268,0.509,0.595,0.393,0.105,0.797,1.746,1.466,0.408,0.779,0.691,3.531,1.617,2.536,0.379,0.509,1.545,80.574,2.978,1.081,58.944,7.492,1.785,4.997,9.674,0.0,0.046,0.0,-0.064,1.625,,0.90%,M,55616P10,BB+
435,4611,77462,2011/1/31,2011/1/31,2011-05-31,-35.978,0.691,5.626,13.559,13.752,14.586,14.586,0.492,8.166,0.099,0.034,0.122,0.076,0.407,0.053,0.146,0.135,0.145,0.358,0.166,0.096,0.166,0.169,0.119,0.493,0.442,0.558,0.594,0.558,0.08,0.067,0.064,0.1,0.69,0.057,2.425,0.061,0.335,0.462,0.605,0.297,0.1,0.775,1.713,1.029,0.36,0.732,0.63,2.731,2.635,3.691,0.299,0.423,1.362,74.38,3.163,1.193,66.675,7.927,2.0,4.521,13.633,0.0,0.043,0.0,-0.031,1.815,,0.69%,M,55616P10,BBB-
436,4611,77462,2012/1/31,2012/1/31,2012-04-30,-59.561,0.507,6.268,14.243,14.444,14.048,14.048,0.65,8.201,0.184,0.048,0.131,0.09,0.404,0.075,0.162,0.181,0.179,0.362,0.219,0.124,0.219,0.22,0.145,0.483,0.471,0.529,0.616,0.529,0.089,0.067,0.06,0.183,0.583,0.042,2.24,0.142,0.388,0.412,0.553,0.334,0.13,0.735,1.919,0.941,0.351,0.731,0.628,2.724,3.76,5.229,0.473,0.584,1.401,70.574,3.187,1.236,69.487,7.589,2.098,4.451,10.503,0.0,0.043,0.0,-0.039,2.427,0.535,1.95%,M,55616P10,BBB
437,4611,77462,2013/1/31,2013/10/31,2013-12-31,-151.65,0.393,6.372,13.87,14.127,14.958,14.958,0.701,8.981,0.246,0.05,0.134,0.097,0.401,0.078,0.177,0.198,0.213,0.365,0.24,0.131,0.24,0.254,0.167,0.531,0.466,0.534,0.559,0.534,0.087,0.06,0.057,0.101,0.727,0.039,1.863,0.046,0.367,0.433,0.663,0.387,0.151,0.719,1.912,0.945,0.329,0.725,0.659,2.641,4.53,6.844,0.275,0.398,1.459,41.747,2.801,1.323,87.134,4.054,2.247,4.817,10.816,0.0,0.043,0.0,-0.037,2.951,0.414,1.87%,M,55616P10,BBB+
438,4611,77462,2016/1/31,2016/1/31,2016-03-31,10.296,0.457,6.508,13.525,13.693,13.693,13.693,0.508,6.928,0.425,0.04,0.114,0.075,0.391,0.062,0.147,0.176,0.166,0.362,0.223,0.106,0.223,0.199,0.128,0.514,0.378,0.622,0.679,0.622,0.079,0.053,0.051,0.07,0.72,0.073,2.464,0.084,0.351,0.429,0.541,0.346,0.122,0.608,2.143,1.221,0.371,0.793,0.701,3.841,3.821,5.366,0.2,0.375,1.336,74.724,2.993,1.288,55.151,6.776,2.407,6.372,14.074,0.0,0.043,0.0,-0.043,2.4,8.62,3.27%,M,55616P10,BBB
439,4611,77462,2016/1/31,2016/10/31,2017-02-28,7.749,0.478,8.001,15.1,15.169,15.169,15.169,0.387,5.016,0.663,0.026,0.092,0.052,0.391,0.041,0.117,0.125,0.115,0.362,0.168,0.085,0.168,0.146,0.089,0.5,0.373,0.626,0.699,0.626,0.067,0.055,0.049,0.051,0.776,0.057,3.144,0.104,0.362,0.416,0.408,0.34,0.122,0.684,2.226,1.224,0.372,0.801,0.748,4.034,2.845,3.646,0.141,0.293,1.312,42.681,2.636,1.279,59.458,3.456,2.404,6.437,14.137,0.0,0.043,0.0,-0.064,1.893,,4.55%,M,55616P10,BBB-
