,gvkey,permno,adate,qdate,datadate,CAPEI,bm,evm,pe_op_basic,pe_op_dil,pe_exi,pe_inc,ps,pcf,dpr,npm,opmbd,opmad,gpm,ptpm,roa,roe,roce,efftax,aftret_eq,aftret_invcapx,aftret_equity,pretret_noa,pretret_earnat,GProf,equity_invcap,debt_invcap,totdebt_invcap,capital_ratio,cfm,int_debt,int_totdebt,cash_lt,invt_act,rect_act,debt_ebitda,short_debt,curr_debt,lt_debt,profit_lct,ocf_lct,cash_debt,fcf_ocf,lt_ppent,dltt_be,debt_at,debt_assets,debt_capital,de_ratio,intcov,intcov_ratio,cash_ratio,quick_ratio,curr_ratio,cash_conversion,inv_turn,at_turn,rect_turn,pay_turn,sale_invcap,sale_equity,sale_nwc,rd_sale,adv_sale,staff_sale,accrual,ptb,PEG_trailing,divyield,ticker,cusip,splticrm
177,8549,13928,2008/12/31,2009/9/30,2010-01-31,11.533,1.191,5.291,16.495,16.609,-2.488,-2.488,0.518,6.778,,-0.208,0.139,0.057,0.163,-0.171,0.123,-0.34,0.08,,-0.437,-0.23,-0.437,0.093,0.072,0.152,0.625,0.365,0.379,0.369,0.122,0.05,0.048,0.009,0.278,0.548,1.828,0.038,0.254,0.38,0.852,0.468,0.262,-0.593,1.037,0.444,0.238,0.602,0.46,1.535,-15.914,4.666,0.034,0.694,0.961,5.651,19.163,0.934,11.618,8.112,1.49,2.384,,0.002,0.0,0.0,-0.253,0.892,,4.17%,COP,20825C10,A
178,8549,13928,2015/12/31,2015/12/31,2016-04-30,10.156,0.88,16.966,-19.83,-19.83,-13.349,-13.349,2.002,7.816,,-0.15,0.165,-0.185,0.319,-0.245,0.045,-0.075,-0.079,,-0.097,-0.035,-0.097,-0.075,-0.066,0.097,0.626,0.369,0.392,0.371,0.306,0.053,0.051,0.041,0.128,0.514,5.111,0.057,0.161,0.409,0.526,0.818,0.132,-0.327,0.864,0.462,0.255,0.589,0.429,1.444,-2.647,-4.507,0.256,0.828,0.95,,16.405,0.276,5.223,3.076,0.465,0.744,,0.008,0.0,0.0,-0.112,1.166,,2.09%,COP,20825C10,A-
179,29028,87055,2009/8/31,2009/11/30,2010-01-31,22.549,0.393,9.461,22.522,22.7,23.157,23.157,0.349,8.755,0.344,0.015,0.036,0.025,0.138,0.024,0.121,0.116,0.156,0.366,0.116,0.105,0.116,0.161,0.088,0.456,0.812,0.181,0.19,0.182,0.026,0.053,0.051,0.308,0.525,0.079,0.886,0.048,0.785,0.18,0.272,0.305,0.176,0.588,1.124,0.222,0.104,0.551,0.445,1.237,10.388,15.664,0.393,0.525,1.104,3.828,11.394,3.308,87.436,11.325,6.03,7.429,73.848,0.0,0.0,0.0,-0.083,2.439,9.421,1.25%,COST,22160K10,A
180,29028,87055,2009/8/31,2009/11/30,2010-02-28,23.996,0.393,9.461,23.91,24.099,24.585,24.585,0.371,9.316,0.344,0.015,0.036,0.025,0.138,0.024,0.121,0.116,0.156,0.366,0.116,0.105,0.116,0.161,0.088,0.456,0.812,0.181,0.19,0.182,0.026,0.053,0.051,0.308,0.525,0.079,0.886,0.048,0.785,0.18,0.272,0.305,0.176,0.588,1.124,0.222,0.104,0.551,0.445,1.237,10.388,15.664,0.393,0.525,1.104,3.828,11.394,3.308,87.436,11.325,6.03,7.429,73.848,0.0,0.0,0.0,-0.083,2.595,10.001,1.18%,COST,22160K10,A+
181,2663,25320,2009/7/31,2009/10/31,2010-01-31,15.501,0.114,8.111,14.03,14.15,15.119,15.05,1.506,9.916,0.468,0.103,0.212,0.178,0.445,0.154,0.267,0.573,0.367,0.322,0.783,0.267,0.783,0.851,0.387,0.553,0.314,0.686,0.883,0.686,0.137,0.05,0.039,0.013,0.483,0.384,1.69,0.223,0.349,0.412,0.901,0.644,0.219,0.691,2.706,1.61,0.446,0.841,0.771,5.3,8.39,12.79,0.038,0.472,0.913,52.814,5.343,1.244,12.091,7.88,2.461,7.839,,0.015,0.0,0.0,-0.061,9.164,1.832,3.32%,CPB,13442910,A
182,2663,25320,2011/7/31,2011/7/31,2011-10-31,13.74,0.138,8.432,12.938,13.039,13.74,13.74,1.379,9.324,0.477,0.104,0.21,0.176,0.436,0.151,0.247,0.61,0.344,0.313,0.799,0.295,0.799,0.723,0.347,0.491,0.309,0.689,0.875,0.69,0.139,0.056,0.042,0.084,0.391,0.285,1.904,0.213,0.345,0.421,0.814,0.574,0.198,0.762,2.742,1.668,0.449,0.84,0.771,5.3,7.545,11.016,0.243,0.601,0.987,40.487,5.836,1.175,14.401,7.777,2.191,7.095,,0.017,0.064,0.0,-0.051,7.318,1.193,3.49%,CPB,13442910,A-
183,2663,25320,2011/7/31,2012/4/30,2012-07-31,13.737,0.16,8.775,13.351,13.459,14.272,14.272,1.359,9.325,0.505,0.097,0.198,0.164,0.425,0.139,0.225,0.494,0.305,0.313,0.663,0.222,0.663,0.624,0.314,0.485,0.347,0.652,0.861,0.653,0.13,0.052,0.04,0.066,0.396,0.334,1.917,0.243,0.363,0.399,0.756,0.555,0.198,0.722,2.692,1.396,0.434,0.825,0.748,4.715,7.44,10.897,0.182,0.581,0.962,46.637,5.76,1.142,11.871,7.747,2.266,6.532,,0.016,0.064,0.0,-0.056,6.115,3.346,3.50%,CPB,13442910,BBB+
185,20779,76076,2009/7/31,2009/10/31,2010-01-31,19.49,0.305,14.008,22.029,22.029,22.929,22.929,3.702,14.866,0.0,0.164,0.254,0.202,0.677,0.211,0.14,0.155,0.155,0.203,0.155,0.135,0.155,0.231,0.16,0.359,0.804,0.196,0.199,0.196,0.216,0.043,0.042,1.213,0.026,0.111,1.067,0.013,0.484,0.338,0.664,0.651,0.336,0.907,6.772,0.244,0.144,0.419,0.209,0.721,15.444,17.768,2.505,3.076,3.157,62.054,10.462,0.53,7.455,16.567,0.733,0.912,1.211,0.146,0.0,0.0,-0.046,3.221,5.798,,CSCO,17275R10,A+
186,20779,76076,2013/7/31,2013/10/31,2013-12-31,15.755,0.488,9.586,12.461,12.672,12.19,12.19,2.457,9.17,0.352,0.203,0.291,0.241,0.653,0.228,0.147,0.176,0.163,0.111,0.176,0.148,0.176,0.26,0.182,0.323,0.807,0.193,0.228,0.193,0.25,0.042,0.035,1.167,0.024,0.144,1.144,0.152,0.503,0.334,0.685,0.631,0.307,0.907,12.383,0.239,0.164,0.417,0.23,0.717,18.195,20.466,2.322,2.948,3.02,78.531,11.316,0.494,5.424,17.112,0.684,0.848,1.166,0.128,0.004,0.0,-0.033,2.036,0.961,3.03%,CSCO,17275R10,AA-
187,2574,62148,2008/12/31,2009/9/30,2010-01-31,15.395,0.927,6.497,1.572,1.587,1.587,1.732,1.791,7.23,0.291,0.126,0.35,0.254,0.35,0.197,0.124,0.081,0.145,0.364,0.143,0.078,0.143,0.104,0.094,0.123,0.515,0.484,0.504,0.485,0.212,0.071,0.068,0.06,0.092,0.373,2.48,0.039,0.116,0.428,1.545,1.094,0.16,0.365,0.801,0.533,0.306,0.687,0.522,2.195,3.133,4.286,0.514,1.109,1.222,,25.446,0.352,9.691,6.46,0.58,1.127,19.926,0.0,0.0,0.263,-0.043,1.105,0.217,2.05%,CSX,12640810,BBB-
188,2574,62148,2010/12/31,2010/12/31,2011-04-30,21.91,0.658,8.051,18.78,18.916,19.382,19.382,2.72,8.911,0.238,0.147,0.381,0.292,0.381,0.239,0.147,0.1,0.181,0.386,0.178,0.091,0.178,0.129,0.118,0.144,0.519,0.481,0.517,0.481,0.236,0.07,0.067,0.069,0.076,0.348,2.14,0.071,0.13,0.414,1.596,1.279,0.167,0.438,0.817,0.512,0.308,0.691,0.528,2.238,3.806,5.567,0.531,1.039,1.125,,31.297,0.386,10.7,6.56,0.635,1.224,33.447,0.0,0.0,0.278,-0.061,1.838,1.18,1.32%,CSX,12640810,BBB
189,2574,62148,2012/12/31,2013/6/30,2013-10-31,16.656,0.76,7.014,4.853,4.908,4.747,4.747,2.241,8.168,0.31,0.16,0.387,0.295,0.387,0.253,0.151,0.11,0.189,0.373,0.208,0.095,0.208,0.135,0.122,0.15,0.514,0.486,0.523,0.486,0.253,0.065,0.06,0.049,0.106,0.395,2.065,0.072,0.124,0.412,1.732,1.227,0.137,0.319,0.81,0.502,0.309,0.696,0.532,2.297,4.3,6.102,0.397,0.87,0.972,,26.632,0.387,11.65,6.765,0.655,1.275,67.563,0.0,0.0,0.257,-0.045,1.471,,2.30%,CSX,12640810,BBB+
190,3062,23660,2009/5/31,2009/11/30,2010-01-31,12.594,0.618,7.48,15.036,15.036,20.582,20.582,1.077,5.974,0.387,0.052,0.172,0.128,0.462,0.084,0.163,0.075,0.144,0.374,0.079,0.071,0.079,0.243,0.207,0.436,0.753,0.247,0.247,0.247,0.108,0.062,0.062,0.226,0.408,0.287,1.287,0.001,0.246,0.572,1.809,1.901,0.387,0.825,1.492,0.308,0.208,0.364,0.264,0.572,4.813,9.302,0.917,2.311,3.904,127.293,3.562,0.944,9.419,24.468,1.118,1.483,3.631,0.0,0.0,0.0,-0.121,1.447,,1.87%,CTAS,17290810,A-
