,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數)
245,2021-01-13,13387,180.0,860.0,168.0,0.1,0.24273179226093758,0.22654967277687507,0,1,0,1,1769890.0,3.0,-2.1,6.0,7.0,0.0,0.0
246,2021-01-14,13292,,146.0,,168.0,,,0,0,0,1,1769890.0,3.0,-3.0,6.0,7.0,-0.0,-0.0
247,2021-01-15,13268,,88.0,,203.0,,,0,0,0,1,1769890.0,3.0,35.0,6.0,7.0,-0.0,-0.0
248,2021-01-18,13548,,43.0,,186.0,,,0,0,0,1,1769890.0,3.0,-17.0,6.0,7.0,-0.0,0.0
249,2021-01-19,13436,,167.0,,26.0,,,0,0,0,1,1769890.0,3.0,-160.0,6.0,7.0,0.0,0.0
250,2021-01-20,13828,226.0,16.0,143.0,0.1,0.29504379747909265,0.18668700459960288,0,1,0,1,1769890.0,3.0,-25.9,6.0,7.0,-0.0,0.0
251,2021-01-21,13680,,498.0,,40.5,,,0,0,0,1,1769890.0,3.0,-105.5,6.0,7.0,0.0,-0.0
252,2021-01-22,13614,,354.0,,40.0,,,0,0,0,1,1769890.0,3.0,-0.5,6.0,7.0,-0.0,0.0
253,2021-01-25,13331,,287.0,,32.0,,,0,0,0,1,1769890.0,3.0,-8.0,6.0,7.0,-0.0,0.0
254,2021-01-26,13360,,70.0,,88.0,,,0,0,0,1,1769890.0,3.0,56.0,6.0,7.0,-0.0,-0.0
255,2021-01-27,13085,194.0,49.0,153.0,0.1,0.2676488759739529,0.21108390734028246,0,1,0,1,1769890.0,3.0,-87.9,6.0,7.0,-0.0,0.0
256,2021-01-28,12773,,67.0,,299.0,,,0,0,0,1,1769890.0,3.0,143.0,6.0,7.0,0.0,-0.0
257,2021-01-29,13065,,8.4,,550.0,,,0,0,0,1,1769890.0,3.0,251.0,6.0,7.0,-0.0,-0.0
258,2021-02-01,13455,,16.5,,272.0,,,0,0,0,1,1769890.0,3.0,-278.0,6.0,7.0,0.0,0.0
259,2021-02-02,13476,,144.0,,35.0,,,0,0,0,1,1769890.0,3.0,-237.0,6.0,7.0,0.0,0.0
260,2021-02-03,13399,239.0,117.0,216.0,0.1,0.3220052367989004,0.29101728514042885,1,1,1,1,1769890.0,3.0,-34.9,7.0,7.0,-0.0,0.0
261,2021-02-04,13505,,163.0,,217.0,,,0,0,1,1,1742240.0,3.0,-2.0,7.0,7.0,-79.0,-0.0
262,2021-02-17,14172,222.0,580.0,134.0,0.3,0.2827868769660724,0.1706911779885302,0,1,0,1,1888190.0,3.0,-216.7,7.0,7.0,417.0,0.0
263,2021-02-18,14101,,223.0,,101.0,,,0,0,0,1,1888190.0,3.0,-36.0,7.0,7.0,-0.0,-0.0
264,2021-02-19,14174,,166.0,,107.0,,,0,0,0,1,1888190.0,3.0,6.0,7.0,7.0,-0.0,-0.0
265,2021-02-22,14226,,190.0,,59.0,,,0,0,0,1,1888190.0,3.0,-48.0,7.0,7.0,0.0,0.0
266,2021-02-23,13973,,211.0,,19.5,,,0,0,0,1,1888190.0,3.0,-39.5,7.0,7.0,0.0,0.0
267,2021-02-24,14179,227.0,0.1,147.0,64.0,0.2890131979924763,0.18715832645327762,0,1,0,1,1888190.0,3.0,44.5,7.0,7.0,-0.0,-0.0
268,2021-02-25,13723,,340.0,,52.0,,,0,0,0,1,1888190.0,3.0,-98.0,7.0,7.0,0.0,0.0
269,2021-02-26,13696,,88.0,,244.0,,,0,0,0,1,1888190.0,3.0,192.0,7.0,7.0,-0.0,-0.0
270,2021-03-02,13971,,16.5,,221.0,,,0,0,0,1,1888190.0,3.0,-23.0,7.0,7.0,-0.0,0.0
271,2021-03-03,13714,220.0,33.0,162.0,0.1,0.28959826562449476,0.21324963195985522,0,1,0,1,1888190.0,3.0,-220.9,7.0,7.0,0.0,0.0
272,2021-03-04,13639,,89.0,,280.0,,,0,0,0,1,1888190.0,3.0,115.0,7.0,7.0,0.0,-0.0
273,2021-03-05,13611,,48.5,,314.0,,,0,0,0,1,1888190.0,3.0,34.0,7.0,7.0,-0.0,-0.0
274,2021-03-08,13614,,17.0,,321.0,,,0,0,0,1,1888190.0,3.0,7.0,7.0,7.0,-0.0,-0.0
275,2021-03-09,13677,,5.3,,299.0,,,0,0,0,1,1888190.0,3.0,-22.0,7.0,7.0,-0.0,0.0
276,2021-03-10,13961,201.0,0.1,174.0,273.0,0.2599063864823562,0.2249935882981591,0,1,0,1,1888190.0,3.0,-26.0,7.0,7.0,-0.0,0.0
277,2021-03-11,14015,,373.0,,55.0,,,0,0,0,1,1888190.0,3.0,-122.0,7.0,7.0,0.0,0.0
278,2021-03-12,13991,,397.0,,21.0,,,0,0,0,1,1888190.0,3.0,-34.0,7.0,7.0,0.0,0.0
279,2021-03-15,14097,,365.0,,12.5,,,0,0,0,1,1888190.0,3.0,-8.5,7.0,7.0,-0.0,0.0
280,2021-03-16,14013,,460.0,,1.6,,,0,0,0,1,1888190.0,3.0,-10.9,7.0,7.0,0.0,0.0
281,2021-03-17,14090,170.0,345.0,105.0,0.1,0.2178087633110635,0.13452894204506863,0,0,0,0,1888190.0,3.0,-1.5,7.0,8.0,-0.0,0.0
282,2021-03-18,13865,,194.0,,66.0,,,0,0,0,0,1902590.0,3.0,0.0,7.0,8.0,-0.0,36.0
283,2021-03-19,13992,,68.0,,158.0,,,0,0,0,0,1865790.0,3.0,0.0,7.0,8.0,-0.0,-92.0
284,2021-03-22,13974,,98.0,,77.0,,,0,0,0,0,1898190.0,3.0,-0.0,7.0,8.0,0.0,81.0
285,2021-03-23,13836,,71.0,,56.0,,,0,0,0,0,1906590.0,3.0,-0.0,7.0,8.0,-0.0,21.0
286,2021-03-24,13885,178.0,0.2,114.0,121.0,0.2314256750023993,0.14821644354086247,0,0,0,0,1880590.0,3.0,0.0,7.0,8.0,-0.0,-65.0
287,2021-03-25,14140,,190.0,,76.0,,,0,0,0,0,1894590.0,3.0,-0.0,7.0,8.0,0.0,35.0
288,2021-03-26,14263,,378.0,,15.0,,,0,0,0,0,1918990.0,3.0,-0.0,7.0,8.0,0.0,61.0
289,2021-03-29,14375,,495.0,,5.7,,,0,0,0,0,1922710.0,3.0,-0.0,7.0,8.0,0.0,9.3
290,2021-03-30,14278,,590.0,,0.6,,,0,0,0,0,1924750.0,3.0,-0.0,7.0,8.0,0.0,5.1
291,2021-03-31,14404,144.0,494.0,90.0,0.1,0.18047489602872377,0.11279681001795237,0,0,0,0,1924950.0,3.0,-0.0,7.0,8.0,-0.0,0.5
292,2021-04-01,14583,,214.0,,41.5,,,0,0,0,0,1943150.0,3.0,0.0,7.0,8.0,-0.0,45.5
293,2021-04-06,14622,,343.0,,0.7,,,0,0,0,0,1959470.0,3.0,-0.0,7.0,8.0,0.0,40.8
294,2021-04-07,14782,142.0,390.0,101.0,0.1,0.17341735873419564,0.12334614952220957,0,0,0,0,1959710.0,3.0,-0.0,7.0,8.0,0.0,0.6
295,2021-04-08,14694,,225.0,,31.5,,,0,0,0,0,1986310.0,3.0,0.0,7.0,8.0,-0.0,66.5
296,2021-04-09,14690,,159.0,,51.0,,,0,0,0,0,1978510.0,3.0,0.0,7.0,8.0,-0.0,-19.5
297,2021-04-12,14648,,133.0,,33.0,,,0,0,0,0,1985710.0,3.0,-0.0,7.0,8.0,-0.0,18.0
298,2021-04-13,14712,,90.0,,25.0,,,0,0,0,0,1988910.0,3.0,-0.0,7.0,8.0,-0.0,8.0
299,2021-04-14,14924,141.0,67.0,130.0,0.2,0.17055768520600717,0.15725176650199246,0,0,0,0,1998830.0,3.0,-0.0,7.0,8.0,-0.0,24.8
300,2021-04-15,15011,,281.0,,58.0,,,0,0,0,0,2026430.0,3.0,0.0,7.0,8.0,0.0,69.0
301,2021-04-16,15124,,327.0,,21.0,,,0,0,0,0,2041230.0,3.0,-0.0,7.0,8.0,0.0,37.0
302,2021-04-19,15175,,425.0,,5.3,,,0,0,0,0,2047510.0,3.0,-0.0,7.0,8.0,0.0,15.7
303,2021-04-20,15053,,475.0,,1.7,,,0,0,0,0,2048950.0,3.0,-0.0,7.0,8.0,0.0,3.6
304,2021-04-21,15024,195.0,381.0,115.0,0.2,0.2343076440970183,0.138181431134139,0,0,0,0,2049550.0,3.0,-0.0,7.0,8.0,-0.0,1.5
305,2021-04-22,15173,,166.0,,119.0,,,0,0,0,0,2046750.0,3.0,0.0,7.0,8.0,-0.0,-7.0
306,2021-04-23,15444,,232.0,,47.5,,,0,0,0,0,2075350.0,3.0,-0.0,7.0,8.0,0.0,71.5
307,2021-04-26,15488,,462.0,,6.8,,,0,0,0,0,2091630.0,3.0,-0.0,7.0,8.0,0.0,40.7
