日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價
2022/7/26,,216.0,,8.4
2022/7/27,215.0,286.0,115.0,0.1
2022/7/28,,222.0,,78.0
2022/7/29,,276.0,,30.0
2022/8/1,,213.0,,28.5
2022/8/2,,65.0,,119.0
2022/8/3,199.0,0.1,160.0,43.0
2022/8/4,,170.0,,148.0
2022/8/5,,405.0,,23.0
2022/8/8,,349.0,,10.5
2022/8/9,,390.0,,1.4
2022/8/10,166.0,295.0,140.0,0.3
2022/8/11,,362.0,,23.0
2022/8/12,,432.0,,8.1
2022/8/15,,540.0,,2.1
2022/8/16,,580.0,,0.7
2022/8/17,164.0,600.0,85.0,0.1
2022/8/18,,115.0,,99.0
2022/8/19,,118.0,,64.0
2022/8/22,,20.5,,143.0
2022/8/23,,0.9,,270.0
2022/8/24,173.0,0.1,99.0,253.0
2022/8/25,,249.0,,37.5
2022/8/26,,289.0,,20.0
2022/8/29,,33.0,,169.0
2022/8/30,,43.5,,52.0
2022/8/31,192.0,78.0,119.0,0.2
2022/9/1,,62.0,,287.0
2022/9/2,,20.0,,381.0
2022/9/5,,3.6,,356.0
2022/9/6,,1.6,,333.0
2022/9/7,186.0,0.2,144.0,585.0
2022/9/8,,272.0,,50.0
2022/9/12,,475.0,,3.2
2022/9/13,,555.0,,0.7
2022/9/14,179.0,316.0,151.0,0.1
2022/9/15,,189.0,,98.0
2022/9/16,,86.0,,152.0
2022/9/19,,33.5,,165.0
2022/9/20,,56.0,,45.0
2022/9/21,201.0,0.1,170.0,148.0
2022/9/22,,70.0,,212.0
2022/9/23,,19.5,,281.0
2022/9/26,,1.9,,615.0
2022/9/27,,0.6,,570.0
2022/9/28,197.0,0.2,175.0,900.0
2022/9/29,,172.0,,143.0
2022/9/30,,101.0,,195.0
2022/10/3,,37.5,,224.0
2022/10/4,,125.0,,29.5
2022/10/5,145.0,322.0,130.0,0.1
2022/10/6,,174.0,,93.0
2022/10/7,,72.0,,178.0
2022/10/11,,0.9,,690.0
2022/10/12,212.0,0.2,188.0,710.0
2022/10/13,,113.0,,296.0
2022/10/14,,213.0,,95.0
2022/10/17,,72.0,,146.0
2022/10/18,,102.0,,52.0
2022/10/19,195.0,0.1,168.0,51.0
2022/10/20,,137.0,,177.0
2022/10/21,,83.0,,214.0
2022/10/24,,77.0,,141.0
2022/10/25,,6.0,,270.0
2022/10/26,188.0,0.1,150.0,209.0
2022/10/27,,316.0,,52.0
2022/10/28,,165.0,,91.0
2022/10/31,,260.0,,16.5
2022/11/1,,340.0,,2.4
2022/11/2,187.0,386.0,141.0,0.2
2022/11/3,,89.0,,171.0
2022/11/4,,99.0,,111.0
2022/11/7,,201.0,,18.5
2022/11/8,,282.0,,2.9
2022/11/9,169.0,565.0,124.0,0.1
2022/11/10,,109.0,,175.0
2022/11/11,,515.0,,9.2
2022/11/14,,580.0,,2.7
2022/11/15,,980.0,,1.1
2022/11/16,240.0,945.0,162.0,0.3
2022/11/17,,212.0,,111.0
2022/11/18,,163.0,,115.0
