,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數)
349,2021-06-15,17371.29,,450.0,,2.4,,,0,0,0,1,1304430.0,6.0,0.0
350,2021-06-16,17307.86,216.0,397.0,98.0,0.1,0.22529305203512195,0.10221629212704607,1,0,1,0,1304430.0,5.0,-0.0
351,2021-06-17,17390.61,,253.0,,63.0,,,0,0,1,0,1312930.0,5.0,34.0
352,2021-06-18,17318.54,,201.0,,64.0,,,0,0,1,0,1299930.0,5.0,-52.0
353,2021-06-21,17062.98,,47.5,,178.0,,,0,0,1,0,1261555.0,5.0,-153.5
354,2021-06-22,17075.55,,32.0,,99.0,,,0,0,1,0,1257680.0,5.0,-15.5
355,2021-06-23,17336.71,208.0,147.0,116.0,0.1,0.21658784055574423,0.12078937261762658,0,0,0,0,1286430.0,5.0,115.0
356,2021-06-24,17407.96,,231.0,,69.0,,,0,0,0,0,1286430.0,5.0,0.0
357,2021-06-25,17502.99,,280.0,,41.0,,,0,0,0,0,1286430.0,5.0,0.0
358,2021-06-28,17590.97,,354.0,,11.0,,,0,0,0,0,1286430.0,5.0,0.0
359,2021-06-29,17598.19,,358.0,,3.5,,,0,0,0,0,1286430.0,5.0,0.0
360,2021-06-30,17755.46,172.0,491.0,108.0,0.2,0.17487750137939215,0.10980680319171135,0,0,0,0,1286430.0,5.0,0.0
361,2021-07-01,17713.94,,134.0,,124.0,,,0,0,0,0,1286430.0,5.0,-0.0
362,2021-07-02,17710.15,,113.0,,110.0,,,0,0,0,0,1286430.0,5.0,-0.0
363,2021-07-05,17919.33,,245.0,,18.5,,,0,0,0,0,1286430.0,5.0,0.0
364,2021-07-06,17913.07,,225.0,,8.3,,,0,0,0,0,1286430.0,5.0,-0.0
365,2021-07-07,17850.69,173.0,100.0,117.0,0.3,0.17495586912529268,0.11832275541999562,0,0,0,0,1286430.0,5.0,-0.0
366,2021-07-08,17866.09,,153.0,,105.0,,,0,0,0,0,1286430.0,5.0,0.0
367,2021-07-09,17661.48,,65.0,,173.0,,,0,0,0,0,1286430.0,5.0,-0.0
368,2021-07-12,17814.33,,106.0,,70.0,,,0,0,0,0,1286430.0,5.0,0.0
369,2021-07-13,17847.52,,103.0,,34.5,,,0,0,0,0,1286430.0,5.0,-0.0
370,2021-07-14,17845.75,165.0,0.2,141.0,4.3,0.16691161543116656,0.14263356227754234,0,0,0,0,1286430.0,5.0,-0.0
371,2021-07-15,18034.19,,244.0,,72.0,,,0,0,0,0,1286430.0,5.0,0.0
372,2021-07-16,17895.25,,145.0,,70.0,,,0,0,0,0,1286430.0,5.0,-0.0
373,2021-07-19,17789.25,,68.0,,124.0,,,0,0,0,0,1286430.0,5.0,-0.0
374,2021-07-20,17528.74,,4.2,,295.0,,,0,0,0,0,1286430.0,5.0,-0.0
375,2021-07-21,17458.79,288.0,0.4,118.0,420.0,0.2977938794610322,0.12201277005695069,1,0,1,0,1286430.0,5.0,-0.0
376,2021-07-22,17572.33,,319.0,,47.0,,,0,0,1,0,1293430.0,5.0,28.0
377,2021-07-23,17572.92,,313.0,,37.5,,,0,0,1,0,1291930.0,5.0,-6.0
378,2021-07-26,17403.56,,153.0,,55.0,,,0,0,1,0,1251930.0,5.0,-160.0
379,2021-07-27,17269.87,,85.0,,53.0,,,0,0,1,0,1234930.0,5.0,-68.0
380,2021-07-28,17135.22,269.0,0.3,153.0,178.0,0.28340011109873864,0.16119039776247962,1,1,1,1,1213755.0,5.0,-84.7
381,2021-07-29,17402.81,,485.0,,30.0,,,0,0,1,1,1267005.0,5.0,213.0
382,2021-07-30,17247.41,,358.0,,55.0,,,0,0,1,1,1235255.0,5.0,-127.0
383,2021-08-02,17503.28,,575.0,,5.9,,,0,0,1,1,1289505.0,5.0,217.0
384,2021-08-03,17553.76,,600.0,,1.8,,,0,0,1,1,1295755.0,5.0,25.0
385,2021-08-04,17623.89,174.0,655.0,108.0,655.0,0.17823167792301245,0.11062655871083531,0,0,0,0,1309505.0,5.0,55.0
386,2021-08-05,17603.12,,147.0,,104.0,,,0,0,0,0,1309505.0,5.0,-0.0
387,2021-08-06,17526.28,,82.0,,143.0,,,0,0,0,0,1309505.0,5.0,-0.0
388,2021-08-09,17485.15,,41.5,,139.0,,,0,0,0,0,1309505.0,5.0,-0.0
389,2021-08-10,17323.64,,3.0,,217.0,,,0,0,0,0,1309505.0,5.0,-0.0
390,2021-08-11,17227.18,169.0,0.1,146.0,379.0,0.1770964819696814,0.15299459389096737,0,1,0,1,1309505.0,5.0,-0.0
391,2021-08-12,17219.94,,143.0,,133.0,,,0,0,0,1,1309505.0,5.0,0.0
392,2021-08-13,16982.11,,39.0,,255.0,,,0,0,0,1,1309505.0,5.0,-0.0
393,2021-08-16,16858.77,,7.0,,388.0,,,0,0,0,1,1309505.0,5.0,-0.0
394,2021-08-17,16661.36,,1.4,,575.0,,,0,0,0,1,1309505.0,5.0,-0.0
395,2021-08-18,16826.27,194.0,0.1,123.0,362.0,0.208137961777576,0.13196375927134973,0,0,0,0,1309505.0,5.0,-0.0
396,2021-08-19,16375.4,,47.5,,351.0,,,0,0,0,0,1309505.0,5.0,0.0
397,2021-08-20,16341.94,,18.0,,463.0,,,0,0,0,0,1309505.0,5.0,-0.0
398,2021-08-23,16741.84,,127.0,,86.0,,,0,0,0,0,1309505.0,5.0,0.0
399,2021-08-24,16818.73,,157.0,,22.0,,,0,0,0,0,1309505.0,5.0,0.0
400,2021-08-25,17045.86,183.0,309.0,139.0,0.1,0.19380705997705355,0.14720864118475652,0,0,0,0,1309505.0,5.0,0.0
401,2021-08-26,17066.96,,198.0,,112.0,,,0,0,0,0,1309505.0,5.0,-0.0
402,2021-08-27,17209.93,,297.0,,46.0,,,0,0,0,0,1309505.0,5.0,0.0
403,2021-08-30,17396.52,,425.0,,8.4,,,0,0,0,0,1309505.0,5.0,0.0
404,2021-08-31,17490.29,,530.0,,1.7,,,0,0,0,0,1309505.0,5.0,0.0
405,2021-09-01,17473.99,174.0,545.0,121.0,0.2,0.17976063201538967,0.1250059567463342,0,0,0,0,1309505.0,5.0,0.0
406,2021-09-02,17319.76,,84.0,,195.0,,,0,0,0,0,1309505.0,5.0,-0.0
407,2021-09-03,17516.92,,165.0,,91.0,,,0,0,0,0,1309505.0,5.0,0.0
408,2021-09-06,17495.3,,114.0,,62.0,,,0,0,0,0,1309505.0,5.0,-0.0
409,2021-09-07,17428.87,,52.0,,64.0,,,0,0,0,0,1309505.0,5.0,-0.0
410,2021-09-08,17270.49,167.0,0.1,159.0,258.0,0.17456180841826713,0.16619956609882916,0,1,0,1,1309505.0,5.0,-0.0
411,2021-09-09,17304.33,,146.0,,156.0,,,0,0,0,1,1309505.0,5.0,0.0
412,2021-09-10,17474.57,,271.0,,43.5,,,0,0,0,1,1309505.0,5.0,0.0
413,2021-09-13,17446.31,,220.0,,30.0,,,0,0,0,1,1309505.0,5.0,-0.0
414,2021-09-14,17434.9,,220.0,,9.5,,,0,0,0,1,1309505.0,5.0,0.0
415,2021-09-15,17354.0,156.0,132.0,102.0,0.1,0.16227903860383094,0.10610552524096639,0,0,0,0,1309505.0,5.0,-0.0
416,2021-09-16,17278.7,,97.0,,117.0,,,0,0,0,0,1309505.0,5.0,-0.0
417,2021-09-17,17276.79,,94.0,,79.0,,,0,0,0,0,1309505.0,5.0,-0.0
418,2021-09-22,16925.82,194.0,0.1,174.0,383.0,0.2069137886447554,0.18558247022777033,0,1,0,1,1309505.0,5.0,-0.0
419,2021-09-23,17078.22,,270.0,,65.0,,,0,0,0,1,1309505.0,5.0,0.0
420,2021-09-24,17260.19,,382.0,,21.5,,,0,0,0,1,1309505.0,5.0,0.0
421,2021-09-27,17313.77,,415.0,,6.3,,,0,0,0,1,1309505.0,5.0,0.0
422,2021-09-28,17181.44,,292.0,,5.4,,,0,0,0,1,1309505.0,5.0,-0.0
423,2021-09-29,16855.46,202.0,0.1,163.0,76.0,0.21634565680643567,0.17457595078935156,0,1,0,1,1309505.0,5.0,-0.0
424,2021-09-30,16934.77,,240.0,,96.0,,,0,0,0,1,1309505.0,5.0,0.0
425,2021-10-01,16570.89,,46.0,,296.0,,,0,0,0,1,1309505.0,5.0,-0.0
426,2021-10-04,16408.35,,8.7,,418.0,,,0,0,0,1,1309505.0,5.0,-0.0
427,2021-10-05,16460.75,,1.9,,381.0,,,0,0,0,1,1309505.0,5.0,-0.0
428,2021-10-06,16393.16,198.0,0.1,172.0,438.0,0.21804188779325578,0.18941012474969696,0,1,0,1,1309505.0,5.0,-0.0
429,2021-10-07,16713.86,,409.0,,50.0,,,0,0,0,1,1309505.0,5.0,0.0
430,2021-10-08,16640.43,,338.0,,53.0,,,0,0,0,1,1309505.0,5.0,-0.0
431,2021-10-12,16462.84,,130.0,,50.0,,,0,0,0,1,1309505.0,5.0,-0.0
432,2021-10-13,16347.99,216.0,20.0,194.0,0.1,0.23852110281426683,0.2142272867868878,1,1,1,1,1309505.0,5.0,-0.0
433,2021-10-14,16387.28,,222.0,,118.0,,,0,0,1,1,1310255.0,5.0,3.0
434,2021-10-15,16781.19,,496.0,,15.5,,,0,0,1,1,1378755.0,5.0,274.0
435,2021-10-18,16705.46,,430.0,,9.3,,,0,0,1,1,1362255.0,5.0,-66.0
436,2021-10-19,16900.67,,605.0,,1.4,,,0,0,1,1,1406005.0,5.0,175.0
437,2021-10-20,16887.82,180.0,585.0,113.0,0.1,0.19241385229101043,0.12079314060491211,0,0,0,0,1401005.0,5.0,-20.0
438,2021-10-21,16889.51,,119.0,,131.0,,,0,0,0,0,1401005.0,5.0,-0.0
439,2021-10-22,16888.74,,120.0,,95.0,,,0,0,0,0,1401005.0,5.0,0.0
440,2021-10-25,16894.24,,116.0,,50.0,,,0,0,0,0,1401005.0,5.0,-0.0
441,2021-10-26,17034.34,,215.0,,7.1,,,0,0,0,0,1401005.0,5.0,0.0
