,日期,Close,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,Implied volatility of Call,Implied volatility of Put,Signal of Long Call,Signal of Long Put,Signal of Long Call_E,Signal of Long Put_E,策略累積資金(金額),進場口數,策略近週報酬(點數),Call進場口數,Put進場口數,Call策略近週報酬(點數),Put策略近週報酬(點數),策略每日報酬率,策略累積報酬率,每個時點最大策略累積資金(金額),Drawdown
514,2022-03-04,15729,,104.0,,208.0,,,0,0,0,0,2927285.0,3.0,0.0,9.0,12.0,-0.0,-107.0,-0.02146091322537136,1.9272850000000012,2991485.0,-0.021460913225371345
515,2022-03-07,15378,,3.6,,700.0,,,0,0,0,0,2632085.0,3.0,0.0,9.0,12.0,-0.0,-492.0,-0.1008442977024786,1.632085000000001,2991485.0,-0.12014100020558352
516,2022-03-08,15620,,0.8,,1040.0,,,0,0,0,0,2428085.0,3.0,0.0,9.0,12.0,-0.0,-340.0,-0.07750509577008347,1.4280850000000007,2991485.0,-0.18833455624881956
517,2022-03-09,16107,253.0,0.1,201.0,750.0,0.28355890029120684,0.225278019598943,0,1,0,1,2602085.0,3.0,-0.0,9.0,12.0,-0.0,290.0,0.07166141218285182,1.6020850000000006,2991485.0,-0.1301694643295888
518,2022-03-10,15897,,600.0,,54.0,,,0,0,0,1,3437285.0,3.0,-150.0,9.0,12.0,0.0,1392.0,0.32097337327566167,2.437285000000001,3437285.0,0.0
519,2022-03-11,15911,,399.0,,77.0,,,0,0,0,1,3409685.0,3.0,23.0,9.0,12.0,-0.0,-46.0,-0.008029593123642598,2.409685000000001,3437285.0,-0.008029593123642643
520,2022-03-14,15556,,366.0,,32.0,,,0,0,0,1,3463685.0,3.0,-45.0,9.0,12.0,-0.0,90.0,0.015837240096959082,2.463685000000001,3463685.0,0.0
521,2022-03-15,15658,,86.0,,102.0,,,0,0,0,1,3379685.0,3.0,70.0,9.0,12.0,-0.0,-140.0,-0.024251627962704414,2.3796850000000007,3463685.0,-0.02425162796270446
522,2022-03-16,16170,264.0,37.0,196.0,0.1,0.29473473950087725,0.21881821569004525,0,1,0,1,3501965.0,3.0,-101.9,9.0,12.0,-0.0,203.8,0.03618088668026753,2.5019650000000007,3501965.0,0.0
523,2022-03-17,16119,,605.0,,28.5,,,0,0,0,1,3467885.0,3.0,-170.5,9.0,12.0,0.0,-56.8,-0.009731679214383893,2.4678850000000008,3501965.0,-0.009731679214383924
524,2022-03-18,16217,,545.0,,25.0,,,0,0,0,1,3472085.0,3.0,-3.5,9.0,12.0,-0.0,7.0,0.0012111128252523251,2.4720850000000008,3501965.0,-0.008532352550639426
525,2022-03-21,16248,,625.0,,5.7,,,0,0,0,1,3495245.0,3.0,-19.3,9.0,12.0,0.0,38.6,0.00667034361197949,2.4952450000000006,3501965.0,-0.0019189226619911964
526,2022-03-22,16425,,655.0,,1.0,,,0,0,0,1,3500885.0,3.0,-4.7,9.0,12.0,0.0,9.4,0.0016136207905310673,2.5008850000000002,3501965.0,-0.00030839828496287083
527,2022-03-23,16395,147.0,805.0,123.0,0.1,0.16186141572314874,0.13543506213569587,0,0,0,0,3501965.0,3.0,-0.9,9.0,14.0,0.0,1.8,0.00030849342380578904,2.5019650000000007,3501965.0,0.0
528,2022-03-24,16347,,117.0,,125.0,,,0,0,0,0,3498465.0,3.0,0.0,9.0,14.0,-0.0,-5.0,-0.0009994388864537074,2.498465000000001,3501965.0,-0.0009994388864537481
529,2022-03-25,16163,,80.0,,133.0,,,0,0,0,0,3492865.0,3.0,0.0,9.0,14.0,-0.0,-8.0,-0.001600702022172551,2.492865000000001,3501965.0,-0.002598541104779745
530,2022-03-28,16272,,7.5,,251.0,,,0,0,0,0,3410265.0,3.0,0.0,9.0,14.0,-0.0,-118.0,-0.02364820856231198,2.410265000000001,3501965.0,-0.026185298825088202
531,2022-03-29,16466,,6.3,,141.0,,,0,0,0,0,3487265.0,3.0,-0.0,9.0,14.0,-0.0,110.0,0.022578890496779636,2.4872650000000016,3501965.0,-0.004197643323105742
532,2022-03-30,16360,153.0,58.0,97.0,0.1,0.16882841855425404,0.10703501045596497,0,0,0,0,3585895.0,3.0,-0.0,9.0,14.0,0.0,140.9,0.02828290938600886,2.585895000000002,3585895.0,0.0
533,2022-03-31,16283,,95.0,,132.0,,,0,0,0,0,3559295.0,3.0,0.0,9.0,14.0,0.0,-38.0,-0.007417952840225395,2.559295000000002,3585895.0,-0.007417952840225383
534,2022-04-01,16231,,39.5,,162.0,,,0,0,0,0,3538295.0,3.0,0.0,9.0,14.0,-0.0,-30.0,-0.005900044812245153,2.538295000000002,3585895.0,-0.013274231398298053
535,2022-04-06,15868,154.0,0.1,133.0,188.0,0.17520074554714046,0.15130973479071222,0,0,0,0,3520095.0,3.0,0.0,9.0,14.0,-0.0,-26.0,-0.005143720351186043,2.520095000000002,3585895.0,-0.018349672815294368
536,2022-04-07,16030,,26.0,,370.0,,,0,0,0,0,3352095.0,3.0,0.0,9.0,14.0,0.0,-240.0,-0.047725984668027466,2.352095000000002,3585895.0,-0.06519990127987574
537,2022-04-08,15763,,39.0,,224.0,,,0,0,0,0,3454295.0,3.0,-0.0,9.0,14.0,0.0,146.0,0.03048839606276066,2.454295000000002,3585895.0,-0.036699345630588735
538,2022-04-11,15726,,3.1,,442.0,,,0,0,0,0,3301695.0,3.0,0.0,9.0,14.0,-0.0,-218.0,-0.044176887034836354,2.301695000000002,3585895.0,-0.07925496981925015
539,2022-04-12,16042,,0.7,,490.0,,,0,0,0,0,3268095.0,3.0,0.0,9.0,14.0,-0.0,-48.0,-0.010176591114563927,2.2680950000000015,3585895.0,-0.08862501551216642
