日期,價平買權次週每日結算價,價平買權近週每日結算價,價平賣權次週每日結算價,價平賣權近週每日結算價,價平買權近週報酬,價平賣權近週報酬,價平買權近週報酬(金額),價平賣權近週報酬(金額),訊號,策略損益(金額)
2020-10-23,,126.0,,30.0,-20.0,-24.0,-1000.0,-1200.0,1.0,-1000.0
2020-10-26,,128.0,,16.0,2.0,-14.0,100.0,-700.0,1.0,100.0
2020-10-27,,80.0,,13.0,-48.0,-3.0,-2400.0,-150.0,1.0,-2400.0
2020-10-28,183.0,0.2,90.0,28.5,-79.8,15.5,-3990.0,775.0,1.0,-3990.0
2020-10-29,,101.0,,144.0,-85.0,51.0,-4250.0,2550.0,1.0,-4250.0
2020-10-30,,30.5,,251.0,-70.5,107.0,-3525.0,5350.0,1.0,-3525.0
2020-11-02,,38.0,,152.0,7.5,-99.0,375.0,-4950.0,1.0,375.0
2020-11-03,,86.0,,52.0,48.0,-100.0,2400.0,-5000.0,1.0,2400.0
2020-11-04,162.0,165.0,114.0,0.1,79.0,-51.9,3950.0,-2595.0,1.0,3950.0
2020-11-05,,140.0,,72.0,-25.0,-45.0,-1250.0,-2250.0,1.0,-1250.0
2020-11-06,,153.0,,48.5,13.0,-23.5,650.0,-1175.0,1.0,650.0
2020-11-09,,294.0,,4.8,141.0,-43.7,7050.0,-2185.0,1.0,7050.0
2020-11-10,,240.0,,2.3,-54.0,-2.5,-2700.0,-125.0,1.0,-2700.0
2020-11-11,127.0,399.0,116.0,0.3,159.0,-1.9999999999999998,7950.0,-99.99999999999999,1.0,7950.0
2020-11-12,,91.0,,113.0,-39.0,-6.0,-1950.0,-300.0,1.0,-1950.0
2020-11-13,,105.0,,71.0,14.0,-42.0,700.0,-2100.0,1.0,700.0
2020-11-16,,334.0,,5.0,229.0,-66.0,11450.0,-3300.0,1.0,11450.0
2020-11-17,,375.0,,1.9,41.0,-3.1,2050.0,-155.0,1.0,2050.0
2020-11-18,132.0,510.0,99.0,0.2,135.0,-1.7,6750.0,-85.0,1.0,6750.0
2020-11-19,,139.0,,72.0,4.0,-30.0,200.0,-1500.0,1.0,200.0
2020-11-20,,121.0,,62.0,-18.0,-10.0,-900.0,-500.0,1.0,-900.0
2020-11-23,,212.0,,11.5,91.0,-50.5,4550.0,-2525.0,1.0,4550.0
2020-11-24,,129.0,,8.7,-83.0,-2.8000000000000007,-4150.0,-140.00000000000003,1.0,-4150.0
2020-11-25,125.0,53.0,98.0,0.2,-76.0,-8.5,-3800.0,-425.0,1.0,-3800.0
2020-11-26,,186.0,,29.0,58.0,-72.0,2900.0,-3600.0,1.0,2900.0
2020-11-27,,208.0,,17.5,22.0,-11.5,1100.0,-575.0,1.0,1100.0
2020-11-30,,97.0,,44.0,-111.0,26.5,-5550.0,1325.0,1.0,-5550.0
2020-12-01,,196.0,,3.9,99.0,-40.1,4950.0,-2005.0,1.0,4950.0
2020-12-02,127.0,280.0,101.0,0.1,84.0,-3.8,4200.0,-190.0,1.0,4200.0
2020-12-03,,123.0,,72.0,-7.0,-32.0,-350.0,-1600.0,1.0,-350.0
2020-12-04,,232.0,,25.5,109.0,-46.5,5450.0,-2325.0,1.0,5450.0
2020-12-07,,312.0,,5.8,80.0,-19.7,4000.0,-985.0,1.0,4000.0
2020-12-08,,410.0,,1.0,98.0,-4.8,4900.0,-240.0,1.0,4900.0
2020-12-09,144.0,449.0,97.0,0.2,39.0,-0.8,1950.0,-40.0,1.0,1950.0
2020-12-10,,60.0,,170.0,-87.0,70.0,-4350.0,3500.0,1.0,-4350.0
2020-12-11,,41.0,,154.0,-19.0,-16.0,-950.0,-800.0,1.0,-950.0
2020-12-14,,16.0,,163.0,-25.0,9.0,-1250.0,450.0,1.0,-1250.0
2020-12-15,,1.2,,270.0,-14.8,107.0,-740.0,5350.0,1.0,-740.0
2020-12-16,180.0,0.1,63.0,27.0,-1.0999999999999999,-243.0,-54.99999999999999,-12150.0,1.0,-54.99999999999999
2020-12-17,,180.0,,41.0,-3.0,-25.0,-150.0,-1250.0,1.0,-150.0
2020-12-18,,134.0,,52.0,-46.0,11.0,-2300.0,550.0,1.0,-2300.0
2020-12-21,,254.0,,7.3,120.0,-44.7,6000.0,-2235.0,1.0,6000.0
2020-12-22,,55.0,,75.0,-199.0,67.7,-9950.0,3385.0,1.0,-9950.0
2020-12-23,158.0,84.0,83.0,0.1,29.0,-74.9,1450.0,-3745.0000000000005,1.0,1450.0
2020-12-24,,220.0,,29.0,59.0,-57.0,2950.0,-2850.0,1.0,2950.0
2020-12-25,,261.0,,13.5,41.0,-15.5,2050.0,-775.0,1.0,2050.0
2020-12-28,,387.0,,4.0,126.0,-9.5,6300.0,-475.0,1.0,6300.0
2020-12-29,,405.0,,0.8,18.0,-3.2,900.0,-160.0,1.0,900.0
2020-12-30,143.0,540.0,78.0,0.3,135.0,-0.5,6750.0,-25.0,1.0,6750.0
2020-12-31,,170.0,,51.0,24.0,-30.0,1200.0,-1500.0,1.0,1200.0
2021-01-04,,306.0,,7.4,136.0,-43.6,6800.0,-2180.0,1.0,6800.0
2021-01-05,,411.0,,1.5,105.0,-5.9,5250.0,-295.0,1.0,5250.0
2021-01-06,171.0,335.0,136.0,0.2,-76.0,-1.3,-3800.0,-65.0,1.0,-3800.0
2021-01-07,,377.0,,32.0,203.0,-107.0,10150.0,-5350.0,1.0,10150.0
2021-01-08,,580.0,,16.5,203.0,-15.5,10150.0,-775.0,1.0,10150.0
2021-01-11,,660.0,,4.5,80.0,-12.0,4000.0,-600.0,1.0,4000.0
2021-01-12,,615.0,,2.2,-45.0,-2.3,-2250.0,-114.99999999999999,1.0,-2250.0
2021-01-13,180.0,860.0,168.0,0.1,245.0,-2.1,12250.0,-105.0,1.0,12250.0
2021-01-14,,146.0,,168.0,-37.0,-3.0,-1850.0,-150.0,1.0,-1850.0
2021-01-15,,88.0,,203.0,-58.0,35.0,-2900.0,1750.0,1.0,-2900.0
2021-01-18,,43.0,,186.0,-45.0,-17.0,-2250.0,-850.0,1.0,-2250.0
