,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change
110,2.0,2.241,0.472,0.563,0.152,6.783,-0.065,0.059,0.066,0.02,-0.077,-0.176,-0.067,-0.098,-0.133,0.031,-0.007,-0.025,0.061,-0.046,0.022,-0.575,-0.138,-0.195,-0.188,-0.878,-0.878,0.089,0.313,0.112,6.917,6.917,0.137,0.113,1.286
111,-2.0,-3.024,-0.876,-0.371,-0.165,-8.262,0.322,0.636,0.263,-0.228,-0.25,-5.759,0.293,0.801,1.143,-0.41,-0.093,0.03,-0.349,0.358,-0.351,-1.139,-0.307,0.38,0.38,-1.041,-1.041,-0.696,-0.652,-0.165,-7.649,-7.495,-0.302,-0.521,-3.599
112,-3.0,0.005,-0.005,-0.021,0.044,0.027,-0.009,-0.067,0.034,0.038,-0.829,1.664,-0.187,-0.022,-0.017,0.0,0.034,-0.149,0.038,0.014,-0.088,0.067,-0.214,-0.134,-0.138,-0.105,-0.105,-0.08,-0.182,0.046,0.024,0.024,0.063,0.022,0.064
113,2.0,0.141,-0.015,-0.246,-0.259,-1.239,-0.089,1.567,-0.316,-0.286,0.05,-0.484,-0.15,-0.116,-0.924,-0.044,0.042,-0.016,-0.173,-0.92,-0.496,-2.213,0.222,1.033,0.874,0.607,0.607,0.384,0.801,-0.159,-1.046,-1.046,-0.199,9.4,-0.117
114,3.0,-0.497,-0.449,-0.653,-0.314,-0.361,0.05,-0.542,-0.093,-0.148,-0.268,-0.266,0.025,0.106,0.124,0.096,-0.445,0.12,0.062,0.172,0.635,0.644,1.445,1.77,1.761,1.408,1.408,0.365,-1.106,-0.183,-0.361,-0.361,-0.105,-0.094,-0.391
115,-1.0,-1.675,-0.268,0.031,-0.18,-1.041,-0.087,23.429,0.026,-0.081,-0.164,-0.258,-0.006,-0.115,-0.947,-0.152,-0.189,-0.176,-0.21,-0.95,-0.959,0.081,0.659,-0.336,-0.344,-5.108,-3.48,-0.574,-0.377,-0.04,-1.041,-1.041,-0.187,14.909,-3.179
116,-3.0,-0.135,-0.091,-0.343,0.01,-0.296,-0.03,0.159,-0.048,-0.048,0.0,0.0,0.12,-0.077,-0.203,-0.072,-0.168,-0.111,-0.219,-0.24,-0.184,-0.229,-0.034,-0.032,-0.032,0.011,0.011,-0.05,0.131,0.01,-0.288,-0.288,-0.05,0.028,-0.015
117,-3.0,-0.545,-0.477,-0.2,-0.004,-0.249,0.053,0.065,0.435,0.5,-0.29,-0.192,0.035,-0.025,0.142,-0.104,-0.051,3.043,-0.234,-0.133,-0.11,0.053,0.195,0.005,0.009,0.24,0.24,-0.001,0.038,-0.004,-0.237,-0.237,-0.201,-0.118,-0.132
118,-1.0,-0.025,-0.134,-0.496,0.057,44.34,0.667,-0.93,-0.329,-0.329,-0.228,-1.799,0.875,0.812,-172.275,-0.146,-0.22,-0.334,-0.114,24.785,5.177,-0.717,0.354,-0.62,-0.618,-0.609,-0.609,-0.471,-0.171,0.071,1154.729,1154.729,-0.081,-1.009,-0.015
119,-1.0,0.015,-0.117,0.0,0.064,0.371,0.023,-0.632,-0.022,-0.045,0.286,-0.464,0.058,0.044,0.176,-0.01,0.023,-0.293,-0.111,0.004,1.359,-0.035,0.228,0.644,0.644,0.519,0.496,0.779,0.596,0.067,0.455,0.455,-0.068,-0.112,0.259
