is_upgraded,CAPEI_change,bm_change,evm_change,pe_op_basic_change,pe_op_dil_change,pe_exi_change,pe_inc_change,ps_change,pcf_change,dpr_change,npm_change,opmbd_change,opmad_change,gpm_change,ptpm_change,roa_change,roe_change,roce_change,efftax_change,aftret_eq_change,aftret_invcapx_change,aftret_equity_change,pretret_noa_change,pretret_earnat_change,GProf_change,equity_invcap_change,debt_invcap_change,totdebt_invcap_change,capital_ratio_change,cfm_change,int_debt_change,int_totdebt_change,cash_lt_change,invt_act_change,rect_act_change,debt_ebitda_change,short_debt_change,curr_debt_change,lt_debt_change,profit_lct_change,ocf_lct_change,cash_debt_change,fcf_ocf_change,lt_ppent_change,dltt_be_change,debt_at_change,debt_assets_change,debt_capital_change,de_ratio_change,intcov_change,intcov_ratio_change,cash_ratio_change,quick_ratio_change,curr_ratio_change,cash_conversion_change,inv_turn_change,at_turn_change,rect_turn_change,pay_turn_change,sale_invcap_change,sale_equity_change,sale_nwc_change,rd_sale_change,adv_sale_change,staff_sale_change,accrual_change,ptb_change,PEG_trailing_change
1,0.065679205,0.515100671,-0.044681811,-0.362470309,-0.362470309,0.667212998,0.905784606,0.022801303,0.058146399,,-0.409090909,0.003460208,-0.00462963,-0.003184713,-0.06122449,0.018181818,-0.48245614,0,-0.115107914,-0.513513514,-0.188976378,-0.513513514,0.025,0,0.008474576,0.331288344,-0.075581395,-0.037940379,-0.076732673,-0.039772727,-0.107526882,-0.149425287,0.421052632,-0.154929577,-0.167808219,-0.058201058,0.492753623,0.177419355,-0.037766831,-0.099462366,-0.130901288,-0.076923077,-3.672131148,-0.01340694,-0.245179063,-0.044921875,-0.043422733,-0.041112455,-0.275931812,-0.073099415,0.235973597,0.204248366,-0.010279001,-0.021828104,0.050562222,0.096797111,0.013333333,0.101379425,-0.639196918,0.01663586,-0.234087481,-0.034245334,,,,0.096153846,-0.159552134,8.146788991
0,0.03456474,-0.163898117,-0.04503937,-0.018566816,-0.018566816,-0.197170456,9.660524801,0.00477707,-0.151185495,,0.307692308,0.020689655,0.03255814,0.025559105,-0.014492754,0.026785714,0.220338983,0.022900763,0.016260163,0.166666667,0,0.166666667,0.056910569,0.04040404,0.058823529,0.101382488,-0.033018868,-0.009859155,-0.034852547,-0.189349112,0.024096386,0,-0.00617284,0.066666667,0.090534979,-0.067865169,0.203883495,0.100456621,-0.0221843,-0.02238806,0.133333333,0.625,0.90797546,-0.025579536,-0.100162206,-0.014314928,-0.017356475,-0.025220681,-0.105347167,0.085962145,0.085447263,-0.093622795,-0.101632047,-0.09762901,-0.348442401,-0.017219044,0.034210526,-0.023690961,0.132966677,0.041818182,-0.057109098,0.41575985,,,,0.192982456,0.095753539,1.853560682
1,1.352660421,-0.120529801,0.22542876,-0.232521354,-0.232521354,0.350370015,-0.902145062,-0.215530903,0.144922774,inf,-0.382352941,-0.152027027,-0.220720721,-0.177570093,-0.389705882,-0.147826087,-0.125,-0.21641791,0.516,-0.023809524,-0.165048544,-0.023809524,-0.184615385,-0.203883495,-0.150793651,-0.472803347,0.190243902,0.184921764,0.184722222,-0.065693431,0.011764706,0.027027027,-0.577639752,0.53125,0.452830189,0.344503375,-0.016129032,-0.041493776,0.057591623,-0.180152672,-0.337690632,-0.401709402,-1.295819936,0.083675144,0.943217666,0.17219917,0.111413043,0.13454075,1.13470116,-0.134350036,-0.336613366,-0.55988024,-0.264244426,-0.236476043,-0.09646834,-0.127368594,-0.002544529,-0.174343122,0.558252427,0.038394415,0.972013367,0,,,,-0.294117647,0.319908815,0
1,-0.197894326,0.390862944,-0.403721333,-0.389198783,-0.387337293,-0.386161282,-0.386161282,-0.044233807,-0.143361938,-0.386167147,0.580246914,0.664,0.664,0.664,0.585365854,0.366666667,-0.128888889,-0.06741573,-0.002898551,-0.123931624,-0.117647059,-0.123931624,,,0.379310345,-0.044472681,0.164319249,0.206730769,0.164319249,0.696202532,1,1,0.162162162,,,0.101045296,-0.745247148,,0.84,,,0.455882353,0.009081736,0.760461176,0.210727969,0.863636364,-0.041484716,-0.051612903,-0.338662257,-0.605580422,-0.610228594,,,,,,-0.16017316,-0.073038701,-0.326579836,-0.445627025,-0.419519301,,,-0.166666667,,-0.214285714,-0.372869565,-0.957788704
0,-0.228974234,0.158759124,-0.034107402,-0.031755915,-0.031559406,0.010567758,0.010567758,-0.049586777,0.13111373,0.169014085,-0.046875,0.009615385,0.009615385,0.009615385,-0.051282051,-0.097560976,-0.295918367,-0.220883534,-0.002906977,-0.287804878,-0.260606061,-0.287804878,,,-0.05,0.027925532,-0.084677419,-0.09561753,-0.084677419,-0.014925373,-0.048387097,-0.048387097,0,,,0.147679325,0.208955224,,0.108695652,,,-0.343434343,0,0.119733154,-0.123417722,0.073170732,-0.029612756,-0.077097506,-0.203111976,-0.135169763,-0.091140656,,,,,,-0.072164948,-0.168221041,-0.110673352,-0.21869783,-0.240276035,,,0,,-0.272727273,-0.184137549,1.832386364
1,-0.011866278,-0.056818182,0.079089323,-0.0450694,-0.038044352,-0.217756748,-0.217756748,0.001488464,-0.088808131,-0.27027027,0.26984127,0.027027027,0.055319149,0.01048951,0.280701754,0.047368421,0.267175573,0.078212291,0.007604563,0.265151515,0.256880734,0.265151515,-0.011764706,0,0.020446097,0.027173913,-0.079847909,-0.079245283,-0.079847909,0.150259067,-0.019607843,-0.039215686,0.322645291,-0.23,-0.128318584,-0.106276151,0.833333333,0.1003861,-0.026041667,-0.003210273,0.067773167,0.685714286,0.038505096,-0.011192931,-0.101408451,-0.076576577,-0.054830287,-0.0625,-0.082125604,0.37846269,0.191300352,0.203011423,0.093246592,0.066629495,-0.384076237,0.100440176,0.011164274,0.044333076,-0.105334234,0.006684492,-0.019665683,-0.110929185,-0.052941176,0.413793103,,-0.092307692,-0.009133612,
0,-0.01861259,-0.212851406,0.183635963,0.156504838,0.160576321,0.203358803,0.550342248,0.490215507,0.393282233,-0.419753086,0.25625,0.141447368,0.237903226,0.033448674,0.255707763,0.110552764,0.240963855,0.248704663,0,0.233532934,0.335766423,0.233532934,-0.002380952,0.003003003,-0.027322404,-0.002645503,0.012396694,0.028688525,0.012396694,0.094594595,-0.14,-0.163265306,0.346969697,-0.298701299,-0.157360406,-0.077715356,1.363636364,0.063157895,-0.08912656,-0.056360709,-0.117227979,0,-0.019629226,0.324396783,0.018808777,-0.004878049,0.071823204,0.014814815,0.114035088,0.586131982,0.617446644,0.265861027,0.146500425,0.11735494,0.297225064,-0.158545455,0.006309148,-0.058939338,-0.035471698,-0.023904382,-0.022066199,-0.288213628,0.02484472,-0.292682927,,-0.271186441,0.544640506,-0.673581213
0,-29.375,0.50052356,-4.977989292,-511.1641791,-545.9477612,-2630.288462,-2943.307692,10.59047619,88.14886731,,-1.003326996,-1.013763396,-1.005941591,-1.013763396,-1.003705419,-1.175,-1.00349345,-1.140350877,,-1.003472222,-1.049429658,-1.003496503,,,-1.157303371,2.191304348,-0.615611193,-0.732532751,-0.627840909,-1.066610455,-0.480519481,-0.16,-0.558333333,,,-2.13220339,-1,,-0.568181818,,,6,0.515151515,7.437682632,-0.879905277,-0.730593607,-0.108342362,0,-0.654631548,-1.154782812,-1.328783151,,,,0,0,1.891891892,2.103053435,0,1.896103896,0.125925926,,,-1,,-0.953488372,3.708860759,
1,0.296803653,0.163996949,-0.360602094,0.184248842,0.191122234,0.576356275,0.576356275,0.072599532,-0.41840052,0.403508772,-0.271428571,0,0,0,-0.142857143,-0.125,-0.458064516,-0.201219512,0.765853659,-0.44516129,-0.404411765,-0.44516129,,,-0.125,0.011124845,-0.047120419,-0.047120419,-0.047120419,0.142857143,-0.14516129,-0.14516129,0.024096386,,,-0.230884558,,,0.020833333,,,-0.395833333,0.068844807,0.267245557,-0.084745763,0,-0.015625,-0.04173913,-0.085899514,-0.241860039,0.002590082,,,,1.054256044,,-0.135057471,-0.226112327,-0.108656716,-0.189593301,-0.198451113,,,,,-2.25,-0.028037383,-0.194936709
1,-0.171233484,-0.005277045,-7.210675752,4.889765607,4.889765607,4.96994668,4.96994668,-0.143939394,0.896825397,0,-0.860465116,-1.230769231,-0.910994764,-1.824742268,-0.884615385,-1.227272727,-0.849162011,-0.908350305,,-0.849162011,-0.932038835,-0.849162011,-0.908366534,-0.91,-1.846153846,0.017152659,-0.019230769,-0.019230769,-0.019230769,-1.430379747,0.107692308,0.107692308,0.114754098,-0.168831169,0.352380952,-5.437992126,0,0.023474178,0.047058824,-1.230379747,-0.551136364,-0.227272727,1.356215213,-0.025524674,-0.035063114,0.028985507,-0.016109046,0.00742115,-0.077990431,-0.947326733,-0.922421058,0.089160839,-0.002436054,-0.07248209,0.10923825,-0.07732333,-0.037037037,-0.21099675,-0.190888987,-0.039551978,-0.054727384,0.143142145,0,,,-0.798657718,-0.231052244,3.923076923
