,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change
20,-3.0,-0.07,-0.073,-0.124,-0.029,-0.02,0.117,-0.032,-0.381,-0.22,0.201,-0.008,0.251,0.181,0.186,-0.088,-0.026,0.035,-0.11,-0.03,-0.213,-0.197,0.044,-0.102,-0.098,-0.065,-0.065,-0.078,0.008,0.009,-0.019,-0.019,-0.078,-0.082,-0.032
21,2.0,-0.134,-0.145,-0.127,-0.06,-0.059,0.021,-0.048,0.0,0.0,-0.017,-0.099,-0.02,0.039,0.053,-0.031,-0.035,0.014,-0.042,-0.0,-0.001,-0.092,0.047,0.015,0.011,0.019,0.019,-0.081,-0.009,-0.035,-0.103,-0.103,-0.063,-0.041,-0.061
22,1.0,2.807,-8.256,0.804,0.236,-2.429,-0.008,-0.355,0.0,0.191,3.636,-0.666,0.112,-0.048,-0.02,0.139,-0.164,-0.153,0.113,0.113,0.43,-5.287,-0.141,-3.349,-3.349,-2.065,-2.028,0.279,-0.219,-0.007,-2.385,-2.385,0.11,0.0,0.431
23,-1.0,0.034,0.006,0.06,-0.166,-0.173,-0.031,0.347,0.0,0.0,2.4,-0.118,-0.04,-0.05,0.0,0.057,-0.085,0.0,0.202,0.14,-0.527,-1.479,-0.154,-0.45,-0.441,-0.407,-0.407,-0.555,-0.52,-0.154,-0.153,-0.18,-0.062,0.078,-0.127
24,-2.0,-0.97,-0.629,0.804,0.041,-11.0,-0.093,0.693,0.481,0.327,2.059,-0.958,-0.023,-0.028,-0.304,-0.077,0.004,-0.254,-0.215,-0.292,-0.558,-1.013,0.293,-0.576,-0.677,-1.01,-1.01,-0.422,-0.31,0.0,-11.5,-11.5,-0.069,0.106,-0.324
25,-3.0,-0.148,0.109,0.268,0.0,-0.111,0.048,-0.491,-0.35,-0.329,-0.338,-0.031,-0.129,0.062,0.228,-0.115,-0.079,-0.087,-0.123,0.036,1.036,0.411,0.762,0.615,0.63,1.146,1.381,0.902,1.006,0.089,-0.101,-0.101,-0.031,-0.154,0.0
26,2.0,0.965,1.512,-0.338,0.153,0.389,-0.158,-0.343,0.608,0.447,8.778,1.955,0.1,-0.365,-0.398,0.479,0.356,0.923,0.667,0.059,0.329,0.534,-0.244,-0.338,-0.34,-0.241,0.29,0.014,0.539,0.042,0.339,0.339,0.54,0.575,-0.298
27,-1.0,-1.183,-1.475,-0.489,-0.632,-0.466,0.041,-0.237,0.046,0.047,-0.107,0.176,0.008,0.06,0.143,-0.004,0.05,0.059,0.0,0.093,0.103,0.512,1.658,-0.298,-0.298,1.21,0.53,0.034,1.191,-0.533,-0.483,-0.483,-0.537,-0.086,-33.5
28,2.0,0.229,0.324,0.577,0.21,-0.204,-0.035,0.598,-0.296,-0.257,-0.127,0.687,-0.154,-0.037,-0.291,-0.068,-0.11,-0.039,-0.234,-0.34,-0.449,-0.582,-0.048,-0.332,-0.345,-0.343,-0.343,-0.234,-0.532,0.143,-0.211,-0.211,0.031,0.159,0.241
29,-2.0,-0.325,-0.06,-0.133,-0.039,-0.46,0.031,-0.027,-0.034,-0.06,0.194,-0.072,0.185,0.042,0.072,0.01,0.088,0.038,0.035,0.049,-0.129,-0.478,0.242,-0.088,-0.096,0.504,1.484,-0.27,0.317,-0.029,-0.48,-0.464,-0.019,-0.018,-0.222
30,-1.0,-0.564,-0.061,0.191,-0.024,-1.326,0.132,-0.184,0.09,0.015,-0.371,0.121,0.229,0.192,0.884,0.087,-0.014,-0.089,0.223,0.81,0.015,-2.02,-0.128,-0.51,-0.513,-2.9,-2.9,-0.566,-0.62,-0.029,-1.319,-1.319,0.058,-0.325,-0.384
31,-2.0,-1.047,-0.936,-0.626,-0.559,-1.132,0.2,2.178,-0.605,-0.581,-0.952,-1.373,-0.094,0.504,0.634,-0.506,-0.209,0.414,-0.531,-0.302,-0.694,-1.002,0.93,4.648,4.589,-2.666,-2.666,-0.575,-0.457,-0.523,-1.143,-1.153,-0.756,-0.328,-0.572
32,3.0,-0.096,-0.104,0.64,-0.038,-0.357,-0.092,0.066,-0.5,-0.457,0.551,0.025,-0.186,-0.03,-0.193,-0.195,-0.048,-0.065,-0.314,-0.283,0.112,-0.034,0.241,0.613,0.611,0.597,0.597,0.488,0.213,0.03,-0.354,-0.354,-0.171,-0.043,-0.042
33,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.035,0.0,0.035,0.035,0.035,0.035,0.035,0.035,0.0,0.0,0.0,0.0,0.0,0.0
34,4.0,0.466,2.897,0.578,0.428,0.567,-0.11,-0.254,0.0,-0.037,0.451,1.214,-0.09,-0.177,-0.201,0.212,0.184,0.018,0.196,0.07,0.572,-2.442,-0.144,-0.738,-0.736,0.011,0.03,0.401,0.237,0.249,0.5,0.5,0.495,0.116,-0.051
35,3.0,-0.568,-0.602,-0.796,-0.183,-0.075,0.22,0.065,-0.765,-0.509,-0.52,-0.04,0.226,1.662,0.348,-0.031,-0.147,-0.12,-0.039,0.126,-0.147,-0.082,0.076,-0.031,-0.031,-0.048,-0.096,-0.207,-0.157,-0.156,-0.092,-0.092,-0.145,-0.147,-0.092
36,-1.0,0.015,-0.117,0.0,0.064,0.371,0.023,-0.632,-0.022,-0.045,0.286,-0.464,0.058,0.044,0.176,-0.01,0.023,-0.293,-0.111,0.004,1.359,-0.035,0.228,0.644,0.644,0.519,0.496,0.779,0.596,0.067,0.455,0.455,-0.068,-0.112,0.259
37,1.0,0.02,-7.627,0.781,-0.169,-1.566,-0.233,2.297,0.078,-0.036,0.531,-12.931,1.068,-0.372,-0.969,0.811,-0.293,0.38,0.909,-0.927,-0.489,0.238,-0.4,-2.819,-3.216,0.716,0.742,-0.1,1.367,-0.151,-1.053,-1.05,0.542,24.5,-0.624
38,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.092,-0.093,0.0,-0.093,-0.093,-0.093,-0.093,-0.093,-0.093,0.0,0.0,0.0,0.0,0.0,0.0
