,rating_diff,after-tax interest coverage_change,interest coverage ratio_change,cash flow/ total debt_change,operating margin before dep._change,return on equity_change,total debt/ total assets_change,book/ market_change,interest/ average LTD_change,interest/ average total debt_change,cash balance/ total liabilities_change,free cash flow/ operating cash flow_change,total liabilities/ total tangible assets_change,total debt/ capital_change,total debt/ equity_change,asset turnover_change,receivables turnover_change,payables turnover_change,sales/invested capital_change,sales/stockholders equity_change,price/ book_change,shillers cyclically adjusted P/E ratio_change,enterprise value multiple_change,"price/ operating earnings (Basic, Excl. EI)_change","price/ operating earnings (Diluted, Excl. EI)_change","P/E (Diluted, Excl. EI)_change","P/E (Diluted, Incl. EI)_change",price/ sales_change,price/ cash flow_change,gross profit margin_change,after-tax return on average common equity_change,after-tax return on average stockholders' equity_change,gross profit/ total assets_change,common equity/invested capital_change,cash flow margin_change
39,1.0,-0.053,-0.209,-0.687,-0.156,0.691,0.478,-0.528,-0.26,-0.221,-0.207,0.213,0.704,0.531,0.729,0.131,-0.118,0.118,0.188,0.323,3.284,-12.021,0.881,2.757,2.851,1.614,1.614,2.281,2.889,-0.116,0.691,0.691,0.003,-0.105,-0.079
40,-3.0,-0.478,-0.438,-0.424,-0.092,-0.383,0.234,0.768,-0.078,-0.161,-0.198,-2.965,0.215,0.406,0.429,-0.151,-0.061,-0.121,-0.132,-0.019,-0.337,-0.229,-0.056,0.333,0.338,0.028,0.028,-0.341,-0.172,-0.09,-0.376,-0.376,-0.224,-0.115,-0.166
41,-2.0,0.586,0.617,0.0,0.141,0.241,0.072,-0.213,-0.14,-0.163,0.347,-0.02,0.324,0.015,0.114,0.006,-0.059,-0.035,-0.024,-0.022,0.545,-0.019,0.184,0.157,0.161,0.203,0.55,0.49,0.393,0.033,0.234,0.234,-0.027,-0.003,0.095
42,-3.0,-0.039,0.645,-1.031,-6.0,0.428,0.097,0.888,1.028,0.056,-0.395,0.0,0.047,0.118,1.165,-0.035,-0.022,2.259,4.943,1.094,0.431,-0.852,-1.19,-0.965,-0.965,-0.966,-0.964,0.378,-0.852,-1.867,0.451,0.451,-1.909,1.835,0.148
43,3.0,1.083,1.063,0.432,0.082,0.028,0.075,-0.301,-0.549,-0.539,-0.04,0.003,0.416,0.393,0.132,-0.076,-0.218,-0.147,-0.028,-0.028,0.39,-0.026,0.391,0.23,0.23,0.225,0.225,0.364,0.088,0.082,0.025,0.025,0.0,0.0,0.098
44,3.0,0.109,0.037,-0.239,-0.091,-0.167,0.026,-0.034,0.0,-0.031,-0.013,-0.188,-0.255,0.06,0.068,-0.053,-0.46,-0.059,0.024,0.069,0.137,0.123,0.068,0.225,0.226,0.18,0.18,0.064,0.399,-0.004,-0.167,-0.167,0.019,-0.041,-0.038
45,-3.0,-0.383,0.098,1.2,0.083,-0.463,-0.022,-0.091,0.02,0.0,0.209,0.26,-0.113,-0.05,-0.052,0.024,-0.082,0.12,-0.011,-0.022,0.159,0.351,0.009,0.056,0.059,1.106,1.106,0.162,-0.245,0.022,-0.463,-0.463,0.031,0.011,-0.286
46,-3.0,0.031,0.135,-0.231,0.021,0.202,0.07,-0.109,0.12,0.0,-0.629,-0.394,-0.167,0.088,0.154,0.189,0.04,0.415,0.321,0.298,0.415,0.074,0.043,0.105,0.107,0.236,-0.159,0.189,0.68,0.006,0.228,0.228,0.21,0.018,-0.045
47,1.0,0.362,0.091,0.0,0.031,1.067,-0.004,0.066,0.011,0.023,0.115,-0.059,0.045,-0.004,-0.042,0.0,0.022,-0.393,-0.004,-0.041,0.025,1.428,0.017,-0.026,-0.028,-0.494,-0.494,0.073,-0.073,0.031,1.067,1.067,0.0,0.041,0.602
48,-3.0,-0.014,-0.011,0.0,-0.057,-0.19,-0.018,0.159,-0.071,-0.048,-0.214,-0.052,-0.018,-0.03,-0.11,-0.028,-0.176,-0.004,0.034,-0.079,-0.164,-0.0,0.041,0.032,0.032,0.039,0.039,-0.015,0.0,-0.025,-0.17,-0.17,-0.012,0.123,-0.065
49,-3.0,-0.335,-0.363,-0.203,-0.082,-0.004,0.184,-0.123,-0.115,-0.109,0.082,0.033,0.253,0.356,0.506,-0.094,-0.033,-0.063,-0.089,0.149,0.106,-0.089,0.173,0.102,0.098,0.096,0.045,-0.033,-0.071,-0.016,0.008,0.008,-0.109,-0.206,-0.071
50,-6.0,-1.295,-0.465,1.321,-0.183,-1.384,0.032,1.007,0.071,0.036,-0.069,-0.113,-0.158,0.102,0.052,-0.162,-0.082,-0.087,-0.08,-0.038,-0.545,-0.609,-0.224,-0.274,-0.278,-2.018,-2.073,-0.546,-0.31,-0.072,-1.376,-1.376,-0.123,-0.043,-1.006
51,-3.0,-0.423,-0.417,-0.365,-0.148,-0.247,0.091,0.112,0.245,-0.13,-0.256,-0.237,0.17,0.176,0.277,-0.126,-0.299,-0.018,-0.041,0.012,-0.053,-0.196,0.159,0.018,0.02,0.116,0.33,-0.114,0.17,-0.077,-0.217,-0.217,-0.202,-0.052,-0.207
52,-1.0,0.411,0.787,0.0,18.5,0.231,-0.021,-0.341,0.0,-0.013,0.238,22.06,0.019,-0.027,-0.059,-0.078,-0.064,0.064,-0.143,-0.172,-0.202,-20.511,-0.914,-0.449,-0.449,-0.412,-0.412,-0.157,0.723,-0.484,0.255,0.255,-0.55,0.034,0.83
53,1.0,0.162,0.493,0.068,0.068,-0.534,-0.2,-0.005,0.239,-0.104,18.3,-0.041,0.243,-0.391,-0.584,-0.184,-0.098,-0.225,-0.192,-0.563,0.222,-2.565,0.69,0.878,0.894,1.239,1.741,1.486,1.849,0.018,-0.534,-0.534,-0.144,0.847,-0.122
54,2.0,0.63,0.455,-0.048,0.08,1.213,-0.06,-0.197,0.015,0.032,-0.02,-0.028,-0.019,-0.088,-0.227,0.104,0.131,0.058,0.12,-0.095,0.117,-0.092,-0.033,-0.267,-0.263,-0.455,-0.455,0.233,0.524,0.005,1.213,1.213,0.103,0.238,0.212
55,1.0,-0.216,-0.162,1.077,0.059,-0.165,-0.076,0.33,-0.013,0.057,0.121,-0.077,0.674,-0.023,-0.116,-0.153,-0.202,0.151,-0.204,-0.188,-0.312,-3.533,0.28,-0.082,-0.087,-0.213,-0.213,-0.178,-0.139,-0.035,-0.174,-0.174,-0.184,-0.019,-0.011
56,-6.0,0.07,0.065,-0.033,-0.019,-0.07,-0.066,-0.129,-0.185,-0.143,0.228,-0.086,-0.062,-0.111,-0.163,-0.028,0.119,0.005,-0.018,-0.104,0.447,0.854,0.224,0.542,0.548,0.606,0.694,0.626,0.797,0.0,-0.052,-0.052,0.0,0.094,-0.014
57,2.0,2.241,0.472,0.563,0.152,6.783,-0.065,0.059,0.066,0.02,-0.077,-0.176,-0.067,-0.098,-0.133,0.031,-0.007,-0.025,0.061,-0.046,0.022,-0.575,-0.138,-0.195,-0.188,-0.878,-0.878,0.089,0.313,0.112,6.917,6.917,0.137,0.113,1.286
58,2.0,-0.228,-0.196,-0.23,-0.079,-0.185,0.104,0.402,-0.082,-0.082,0.25,-0.732,0.053,0.114,0.225,-0.035,-0.178,0.281,-0.007,0.07,-0.212,-0.043,-0.334,-0.077,-0.088,-0.071,-0.071,-0.228,-0.187,-0.079,-0.11,-0.11,-0.115,-0.072,-0.099
59,1.0,-0.134,-0.337,-0.402,-0.152,-0.125,0.111,-0.121,0.012,0.027,-0.578,-1.296,0.084,0.135,1.135,-0.003,-0.174,0.558,0.038,0.972,0.32,1.353,0.225,-0.233,-0.233,0.35,-0.902,-0.216,0.145,-0.178,-0.024,-0.024,-0.151,-0.473,-0.066
60,-2.0,4.068,56.997,-0.329,-10.67,8.008,0.561,-0.856,0.042,0.042,2.571,0.591,0.788,1.423,4.312,-0.269,-0.295,4.207,0.407,3.694,4.476,-1.212,-1.164,-0.98,-0.98,-0.88,-0.872,0.21,0.593,-9.718,8.503,8.503,-13.032,-0.701,1.509
61,-1.0,-1.046,-1.176,-0.12,-1.052,-1.184,-0.244,9.808,-0.258,0.295,-0.083,-55.556,-0.315,0.099,-0.601,-0.599,-0.607,-0.399,-0.811,-0.784,-0.928,-0.66,-29.074,-1.339,-1.332,-1.382,-1.377,-0.683,-0.629,-1.047,-1.193,-1.193,-1.017,-0.127,-0.523
62,-1.0,-0.304,-0.518,-0.556,-0.234,-0.75,0.017,1.091,-0.184,-0.184,-0.354,0.072,-0.13,0.007,-0.593,-0.3,0.076,-0.06,-0.334,-0.29,-0.013,-0.015,0.191,1.503,1.475,1.102,1.102,0.207,-0.047,-0.013,-1.016,-1.016,-0.312,1.75,-0.166
63,-3.0,-0.05,-0.065,0.38,-0.159,-0.178,-0.029,0.059,-0.1,-0.184,-0.301,0.243,-0.073,-0.017,-0.073,-0.023,-0.023,0.004,-0.024,-0.067,-0.057,0.02,0.121,0.157,0.163,0.176,0.176,-0.036,-0.059,-0.045,-0.245,-0.245,-0.066,0.047,-0.122
64,-2.0,-0.176,-0.173,-0.188,-0.145,-0.219,0.032,0.242,-0.042,-0.043,-0.17,0.141,0.031,0.031,0.082,0.065,-0.487,0.028,0.082,0.117,-0.343,-0.318,-0.075,-0.191,-0.197,-0.16,-0.16,-0.423,-0.545,-0.016,-0.233,-0.233,0.048,-0.031,-0.118
65,1.0,-0.583,-0.442,0.0,-0.239,0.506,0.047,-0.788,-0.296,-0.284,-0.133,-0.221,0.008,0.063,34.559,-0.251,-0.278,-0.22,-0.223,24.432,2.619,0.729,0.7,-18.761,-18.761,3.502,3.578,0.455,1.366,-0.183,1.076,1.076,-0.385,-0.966,-4.167
66,1.0,-0.782,-0.42,-1.662,-0.131,0.132,0.096,-0.216,0.059,0.059,0.2,-4.702,0.022,0.18,-0.406,0.028,0.117,-0.084,0.156,0.141,0.229,0.914,0.07,-0.534,-0.534,1.723,1.723,1.356,-0.414,-0.051,-0.705,-0.705,-0.027,1.074,-2.444
67,2.0,1.092,1.128,0.456,0.003,-0.086,-0.242,-0.146,-0.11,-0.152,1.254,-0.019,0.248,-0.457,-0.452,-0.064,0.058,-0.1,-0.048,-0.325,-0.056,-1.366,0.077,0.156,0.168,0.038,0.038,0.295,0.586,0.003,-0.14,-0.14,-0.062,0.408,0.079
68,-3.0,0.944,0.226,0.018,-0.089,-3.167,-0.024,-0.36,-0.058,-0.082,0.323,-0.004,0.009,0.011,0.131,0.094,0.1,0.17,0.128,0.268,0.319,0.848,0.266,1.342,1.342,-1.628,-1.628,0.2,0.332,0.018,-3.444,-3.444,0.115,-0.11,0.079
69,-3.0,-0.534,-0.53,-0.428,0.046,0.017,0.486,0.074,-0.073,-0.154,-0.394,0.026,0.585,1.081,0.823,-0.092,-0.101,-0.003,-0.071,0.111,-0.087,-0.199,-0.04,-0.164,-0.171,-0.102,-0.293,-0.152,-0.195,-0.052,0.03,0.03,-0.143,-0.163,-0.012
70,-2.0,-0.046,-0.192,0.17,0.086,1.228,-0.011,-0.169,0.269,0.16,0.684,-0.106,0.18,-0.014,-1.123,-0.156,-0.142,-0.332,-0.095,-0.84,0.161,-0.337,-0.064,-0.359,-0.365,-0.431,-0.674,-0.267,-0.291,0.099,-0.401,-0.379,-0.073,-9.5,0.186
71,5.0,0.337,0.279,-0.235,0.099,0.193,-0.017,-0.176,-0.099,-0.092,-0.005,-0.142,0.035,-0.062,-0.043,-0.031,-0.044,0.052,-0.032,-0.055,0.253,-0.052,0.09,0.175,0.172,0.127,0.134,0.365,0.767,0.099,0.193,0.193,0.071,0.024,0.176
72,2.0,-0.316,-0.39,0.0,-0.419,0.633,0.085,0.031,-0.047,-0.033,-0.659,-0.339,0.055,0.107,2.265,0.018,-0.028,0.0,0.039,2.062,0.003,0.006,0.888,0.609,0.609,0.649,0.649,0.327,-0.123,-0.433,-1.646,0.395,-0.423,1.581,-0.328
73,-2.0,0.326,0.342,-0.265,0.295,0.619,0.025,0.014,-0.037,-0.04,-0.617,-0.252,-0.114,0.081,0.076,-0.077,-0.563,-0.164,-0.263,-0.188,-0.121,-0.123,-0.048,-0.412,-0.41,-0.448,-0.423,-0.117,-0.138,0.295,0.598,0.598,0.0,-0.091,0.191
74,-3.0,0.172,0.187,-0.284,-0.126,-0.185,0.008,-0.477,-0.104,-0.087,-0.466,-0.127,-0.146,-0.007,0.036,0.153,1.462,-0.06,0.282,0.184,0.199,-0.282,0.177,-0.183,-0.18,-0.194,-0.194,-0.405,-0.627,-0.033,-0.185,-0.185,0.114,0.081,-0.075
75,2.0,0.205,0.309,0.162,0.023,0.094,-0.008,-0.225,-0.104,-0.05,-0.448,-0.022,-0.004,0.049,-0.03,0.07,0.254,-0.466,0.071,0.082,0.216,1.546,0.017,-0.026,-0.022,0.065,0.065,0.078,0.095,-0.007,0.096,0.096,0.099,-0.011,-0.022
76,-2.0,-0.831,-0.593,0.0,-0.337,-1.312,0.121,-0.412,0.039,0.02,0.038,1.193,0.145,0.159,0.231,0.048,-0.022,0.002,0.072,0.148,-0.335,-0.413,0.624,-7.702,-7.575,-1.973,-1.004,-0.345,-0.358,-0.273,-1.562,-1.314,-0.245,-0.107,-12.444
77,2.0,-0.142,0.091,0.211,0.017,-0.162,0.025,-0.261,-0.04,0.0,0.034,0.019,-0.096,0.026,0.053,0.075,0.203,0.024,0.08,0.105,0.305,0.121,0.144,0.114,0.111,0.537,0.537,0.171,0.011,0.017,-0.171,-0.171,0.091,-0.022,-0.181
78,-3.0,3.501,-1.099,0.0,-0.59,3.658,-0.104,-0.203,0.033,0.069,0.03,0.15,-0.214,-0.088,-0.161,-0.306,-0.083,-0.105,-0.412,-0.423,0.373,0.438,3.286,-8.157,-8.157,-0.722,-0.722,1.152,0.132,-0.176,3.683,3.683,-0.493,0.019,302.0
79,2.0,-0.612,0.353,-0.863,0.402,0.635,0.118,-0.069,0.068,0.055,0.075,-3.555,-0.036,0.341,-0.183,-0.205,-0.372,-0.343,-0.018,0.009,0.227,-2.499,-0.229,-9.018,-7.725,18.011,6.607,3.948,19.013,0.376,-0.867,-0.843,0.352,0.331,-1.347
80,-1.0,0.086,0.085,0.625,0.021,0.22,-0.017,-0.164,0.024,0.0,-0.006,0.908,-0.026,-0.025,-0.105,0.034,-0.024,0.133,0.042,-0.057,0.096,0.035,-0.045,-0.019,-0.019,-0.197,9.661,0.005,-0.151,0.026,0.167,0.167,0.059,0.101,-0.189
81,3.0,-0.439,0.031,-0.109,0.018,-0.638,0.023,0.065,0.04,0.024,0.0,-0.044,0.062,0.049,0.082,0.019,-0.051,-0.201,0.045,0.062,0.092,0.2,-0.014,-0.144,-0.144,1.929,2.423,0.018,0.001,0.018,-0.639,-0.639,0.024,-0.016,-0.317
82,3.0,0.308,0.302,0.74,-0.013,0.198,-0.013,-0.151,-0.015,0.0,-0.258,0.147,-0.021,-0.083,-0.033,0.162,0.028,0.071,0.168,0.112,0.126,-0.074,0.101,0.907,0.902,0.879,0.879,0.005,-0.234,-0.013,0.207,0.207,0.124,0.049,0.012
83,1.0,-0.011,-0.01,0.0,-0.147,-0.299,-0.024,-0.392,0.176,0.097,-0.127,-0.338,-0.068,-0.039,-0.043,-0.014,-0.129,-0.153,0.109,0.084,-0.109,-0.122,0.276,0.154,0.149,0.182,0.182,-0.143,-0.171,-0.099,-0.301,-0.301,-0.003,0.021,-0.152
84,-1.0,-3.067,-2.29,1.643,-1.027,-32.2,0.079,1.125,0.07,0.071,-0.382,1.941,-0.043,0.09,0.215,-0.077,0.091,-0.022,0.015,0.115,0.398,-4.358,-19.783,-1.088,-1.088,-1.038,-1.041,0.269,0.556,-0.551,-33.2,-33.2,-0.556,-0.089,-1.959
85,-3.0,0.868,0.46,0.369,0.036,0.899,0.108,-0.253,-0.218,-0.259,-0.133,0.13,-0.087,0.154,0.152,0.155,0.017,-0.074,0.174,0.196,-0.007,-0.046,0.145,-0.42,-0.384,-0.425,-0.425,-0.284,-0.307,-0.007,0.835,0.696,0.146,-0.123,0.208
